Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Physical Oceanography, Department of","BOWER, AMY",287149,"Physical Oceanography, Department of","FOUKAL, NICHOLAS P",1584405,1,0,0,0,1,0,0
"Physical Oceanography, Department of","BOWER, AMY",287149,"Physical Oceanography, Department of","FUREY, HEATHER",2157281,10,0,0,2,3,0,0
"Physical Oceanography, Department of","BOWER, AMY",287149,"Physical Oceanography, Department of","LE BRAS, ISABELA",1304708,1,0,0,0,0,0,0
"Physical Oceanography, Department of","BOWER, AMY",287149,"Mechanical Engineering, Department of","LERMUSIAUX, PIERRE",53496,0,0,0,2,0,0,0
"Physical Oceanography, Department of","BOWER, AMY",287149,"Physical Oceanography, Department of","MAHADEVAN, AMALA",488114,1,0,0,0,0,0,0
"Physical Oceanography, Department of","BOWER, AMY",287149,"Physical Oceanography, Department of","MENEZES, VIVIANE",1584406,0,0,0,0,3,0,0
"Physical Oceanography, Department of","BOWER, AMY",287149,"Physical Oceanography, Department of","PICKART, ROBERT",288982,3,0,0,0,3,0,0
"Physical Oceanography, Department of","JAYNE, STEVEN",288108,"Applied Ocean Physics and Engineering, Department of","EDSON, JAMES",208562,1,0,0,0,0,0,0
"Physical Oceanography, Department of","JAYNE, STEVEN",288108,"Physical Oceanography, Department of","FARRAR, JOHN",370197,2,0,0,0,1,0,0
"Physical Oceanography, Department of","JAYNE, STEVEN",288108,"Mechanical Engineering, Department of","PEACOCK, THOMAS",115546,1,0,0,0,0,0,0
"Physical Oceanography, Department of","JAYNE, STEVEN",288108,"Physical Oceanography, Department of","SEO, HYODAE",544627,1,0,0,0,0,0,0
"Physical Oceanography, Department of","JAYNE, STEVEN",288108,"Applied Ocean Physics and Engineering, Department of","SMITH NEWELL, MADISON",1806568,1,0,0,0,0,0,0
"Physical Oceanography, Department of","JAYNE, STEVEN",288108,"Physical Oceanography, Department of","TODD, ROBERT",779128,1,0,0,0,0,0,0
"Physical Oceanography, Department of","JAYNE, STEVEN",288108,"Physical Oceanography, Department of","TOOLE, JOHN",289558,1,0,0,0,0,0,0
"Physical Oceanography, Department of","JAYNE, STEVEN",288108,"Physical Oceanography, Department of","WIJFFELS, SUSAN",919229,1,0,0,0,0,0,0
"Physical Oceanography, Department of","KWON, YOUNG-OH",288380,"Physical Oceanography, Department of","ANDRES, MAGDALENA",488108,1,0,0,0,0,0,0
"Physical Oceanography, Department of","KWON, YOUNG-OH",288380,"Physical Oceanography, Department of","CHEN, KE",836179,2,0,0,0,0,0,0
"Physical Oceanography, Department of","KWON, YOUNG-OH",288380,"Physical Oceanography, Department of","GAWARKIEWICZ, GLEN",370199,1,0,0,0,0,0,0
