Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Physical Oceanography, Department of",Massachusetts Institute of Technology,"Physical Oceanography, Department of",32,185,1,0,10,2,0,0
"Physical Oceanography, Department of",Boston College,"Earth and Environmental Sciences, Department of",1,3,0,0,0,0,0,0
"Physical Oceanography, Department of",Boston University,"Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",Boston University,"Earth and Environment, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",Brown University,"Earth, Environmental, and Planetary Sciences, Department of",4,10,0,0,0,0,0,0
"Physical Oceanography, Department of",Brown University,"Applied Mathematics, Division of",1,7,0,0,0,0,0,0
"Physical Oceanography, Department of",California Institute of Technology,"Geological and Planetary Sciences, Division of",2,5,0,0,1,0,0,0
"Physical Oceanography, Department of",California Institute of Technology,"Environmental Science and Engineering, Department of",2,5,0,0,1,0,0,0
"Physical Oceanography, Department of","College of William & Mary, The","Marine Science, School of",1,2,0,0,0,0,0,0
"Physical Oceanography, Department of",Colorado State University,"Atmospheric Science, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",Columbia University,"Applied Physics and Applied Mathematics, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",Columbia University,"Earth and Environmental Sciences, Department of",2,3,0,0,0,0,0,0
"Physical Oceanography, Department of",Cornell University,"Earth and Atmospheric Sciences, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",Emory University,"Physics, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",Florida State University,"Earth, Ocean and Atmospheric Science, Department of",4,6,0,0,2,0,0,0
"Physical Oceanography, Department of",Georgia Institute of Technology,"Earth and Atmospheric Sciences, School of",3,10,0,0,0,0,0,0
"Physical Oceanography, Department of",Georgia Institute of Technology,"Interactive Computing, School of",1,1,0,0,3,0,0,0
"Physical Oceanography, Department of",Harvard University,"Earth and Planetary Science, Department of",2,12,0,0,0,0,0,0
"Physical Oceanography, Department of",Harvard University,Environmental Science and Engineering Area,2,12,0,0,0,0,0,0
"Physical Oceanography, Department of",Iowa State University,"Geological and Atmospheric Sciences, Department of",1,5,0,0,2,0,0,0
"Physical Oceanography, Department of",Johns Hopkins University,"Earth and Planetary Sciences, Department of",1,2,0,0,0,0,0,0
"Physical Oceanography, Department of",North Carolina State University,"Marine, Earth and Atmospheric Sciences, Department of",1,3,0,0,0,0,0,0
"Physical Oceanography, Department of",Northeastern University,"Marine and Environmental Sciences, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",Nova Southeastern University,"Marine and Environmental Sciences, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of","Ohio State University, The","Geography, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",Oregon Health & Science University,"Public Health, School of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",Oregon State University,"Fisheries and Wildlife Sciences, Department of",1,2,0,0,0,0,0,0
"Physical Oceanography, Department of",Oregon State University,"Earth, Ocean, and Atmospheric Sciences, College of",12,23,0,0,1,0,0,0
"Physical Oceanography, Department of",Pennsylvania State University - University Park,"Meteorology and Atmospheric Science, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",Portland State University,"Electrical and Computer Engineering, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",Princeton University,"Civil and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",Rensselaer Polytechnic Institute,"Mathematical Sciences, Department of",1,3,0,0,0,0,0,0
"Physical Oceanography, Department of",Rutgers - New Brunswick,"Marine and Coastal Sciences, Department of",4,3,0,0,2,0,0,0
"Physical Oceanography, Department of",Rutgers - New Brunswick,"Earth and Planetary Sciences, Department of",1,2,0,0,0,0,0,0
"Physical Oceanography, Department of",Stanford University,"Civil and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",Stanford University,"Earth System Science, Department of",2,4,0,0,0,0,0,0
"Physical Oceanography, Department of","University at Albany, State University of New York","Atmospheric and Environmental Sciences, Department of",1,3,0,0,0,1,0,0
"Physical Oceanography, Department of","University at Buffalo, State University of New York","Earth Sciences, Department of",1,0,0,0,1,0,0,0
"Physical Oceanography, Department of","Stony Brook University, State University of New York","Atmospheric Sciences, Division of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",Texas A&M University,"Mathematics, Department of",1,2,0,0,0,0,0,0
"Physical Oceanography, Department of",Texas A&M University,"Oceanography, Department of",2,0,0,0,2,0,0,0
"Physical Oceanography, Department of",Texas A&M Corpus Christi,"Physical and Environmental Sciences, Department of",1,4,0,1,0,0,0,0
"Physical Oceanography, Department of","University of Texas at Austin, The","Aerospace Engineering and Engineering Mechanics, Department of",1,2,0,0,0,0,0,0
"Physical Oceanography, Department of","University of Texas at Austin, The","Geological Sciences, Department of",1,0,0,0,1,0,0,0
"Physical Oceanography, Department of","University of Texas at Austin, The","Marine Science, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",Tufts University,"Earth and Climate Sciences, Department of",1,2,0,0,0,0,0,0
"Physical Oceanography, Department of",Tulane University,"River-Coastal Science and Engineering, Department of",1,4,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Alaska Fairbanks,"Fisheries and Ocean Sciences, School of",3,7,0,0,0,0,0,0
"Physical Oceanography, Department of","University of Arizona, The","Geosciences, Department of",3,3,0,0,0,0,0,0
"Physical Oceanography, Department of","University of Arizona, The","Applied Mathematics, GIDP",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of","University of Arizona, The","Hydrology and Atmospheric Sciences, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of","University of Arizona, The","Global Change, GIDP",3,2,0,0,0,0,0,0
"Physical Oceanography, Department of","University of Arizona, The","Remote Sensing and Spatial Analysis, GIDP",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of","University of California, Berkeley","Mechanical Engineering, Department of",1,0,0,0,0,1,0,0
"Physical Oceanography, Department of","University of California, Irvine","Earth System Science, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of","University of California, Los Angeles","Atmospheric and Oceanic Sciences, Department of",1,1,0,0,1,0,0,0
"Physical Oceanography, Department of","University of California, Los Angeles","Environment and Sustainability, Institute of the",1,1,0,0,1,0,0,0
"Physical Oceanography, Department of","University of California, San Diego","Mechanical and Aerospace Engineering, Department of",2,4,0,0,0,0,0,0
"Physical Oceanography, Department of","University of California, San Diego","Oceanography (Scripps), Institution of",13,34,0,1,0,0,0,0
"Physical Oceanography, Department of","University of California, Santa Barbara","Earth Science, Department of",1,3,0,0,0,0,0,0
"Physical Oceanography, Department of","University of California, Santa Barbara","Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of","University of California, Santa Barbara","Environmental Science and Management, School of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of","University of California, Santa Cruz","Earth and Planetary Sciences, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of","University of California, Santa Cruz","Ocean Sciences, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of","University of California, Santa Cruz","Applied Mathematics, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Central Florida,"Civil, Environmental and Construction Engineering, Department of",1,4,0,0,0,0,0,0
"Physical Oceanography, Department of","University of Chicago, The","Geophysical Sciences, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Colorado Boulder,"Atmospheric and Oceanic Sciences (ATOC), Department of",6,12,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Colorado Boulder,"Geological Sciences, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Colorado Boulder,"Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Colorado Boulder,"Aerospace Engineering Sciences, Department of",1,2,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Connecticut,"Marine Sciences, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Delaware,"Marine Science and Policy, School of",4,4,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Georgia,"Marine Programs, School of",2,3,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Hawai'i - Manoa,"Earth Sciences, Department of",1,3,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Hawai'i - Manoa,"Ocean and Resources Engineering, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Hawai'i - Manoa,"Oceanography, Department of",7,15,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Illinois at Urbana-Champaign,"Earth Science and Environmental Change, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Louisville,"Anthropology, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of","University of Maine, The","Earth and Climate Sciences, School of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of","University of Maine, The","Marine Sciences, School of",1,4,0,0,0,0,0,0
"Physical Oceanography, Department of","University of Maryland, College Park","Atmospheric and Oceanic Science, Department of",1,1,0,0,1,0,0,0
"Physical Oceanography, Department of",University of Massachusetts Amherst,"Electrical and Computer Engineering, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Massachusetts Boston,"Environment, School for the",1,2,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Massachusetts Dartmouth,"Estuarine and Ocean Sciences, Department of",2,17,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Massachusetts Dartmouth,"History, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Massachusetts Dartmouth,"Mechanical Engineering, Department of",1,8,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Miami,"Ocean Sciences, Department of",5,13,0,2,2,0,0,0
"Physical Oceanography, Department of",University of Miami,"Atmospheric Sciences, Department of",3,5,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Michigan,"Climate and Space Sciences and Engineering, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Michigan,"Earth and Environmental Science, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Missouri,"Civil and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of","University of Nevada, Las Vegas","Geoscience, Department of",1,1,0,0,0,0,0,0
"Physical Oceanography, Department of",University of New Hampshire,"Marine Science and Ocean Engineering, School of",2,2,0,0,0,0,0,0
"Physical Oceanography, Department of","University of New Mexico, The","Earth and Planetary Sciences, Department of",2,4,0,0,2,0,0,0
"Physical Oceanography, Department of",University of North Carolina at Chapel Hill,"Earth, Marine and Environmental Sciences, Department of",4,8,0,0,0,0,0,0
"Physical Oceanography, Department of",University of Notre Dame,"Civil and Environmental Engineering and Earth Sciences, Department of",1,1,0,0,0,0,0,0
