Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Physical Oceanography, Department of","BOWER, AMY",287149,"FOUKAL, NICHOLAS P",1584405,1,0,0,0,1,0,0
"Physical Oceanography, Department of","BOWER, AMY",287149,"FUREY, HEATHER",2157281,10,0,0,2,3,0,0
"Physical Oceanography, Department of","BOWER, AMY",287149,"LE BRAS, ISABELA",1304708,1,0,0,0,0,0,0
"Physical Oceanography, Department of","BOWER, AMY",287149,"MAHADEVAN, AMALA",488114,1,0,0,0,0,0,0
"Physical Oceanography, Department of","BOWER, AMY",287149,"MENEZES, VIVIANE",1584406,0,0,0,0,3,0,0
"Physical Oceanography, Department of","BOWER, AMY",287149,"PICKART, ROBERT",288982,3,0,0,0,3,0,0
"Physical Oceanography, Department of","JAYNE, STEVEN",288108,"FARRAR, JOHN",370197,2,0,0,0,1,0,0
"Physical Oceanography, Department of","JAYNE, STEVEN",288108,"SEO, HYODAE",544627,1,0,0,0,0,0,0
"Physical Oceanography, Department of","JAYNE, STEVEN",288108,"TODD, ROBERT",779128,1,0,0,0,0,0,0
"Physical Oceanography, Department of","JAYNE, STEVEN",288108,"TOOLE, JOHN",289558,1,0,0,0,0,0,0
"Physical Oceanography, Department of","JAYNE, STEVEN",288108,"WIJFFELS, SUSAN",919229,1,0,0,0,0,0,0
"Physical Oceanography, Department of","KWON, YOUNG-OH",288380,"ANDRES, MAGDALENA",488108,1,0,0,0,0,0,0
"Physical Oceanography, Department of","KWON, YOUNG-OH",288380,"CHEN, KE",836179,2,0,0,0,0,0,0
"Physical Oceanography, Department of","KWON, YOUNG-OH",288380,"GAWARKIEWICZ, GLEN",370199,1,0,0,0,0,0,0
"Physical Oceanography, Department of","KWON, YOUNG-OH",288380,"SEO, HYODAE",544627,1,0,0,0,0,0,0
"Physical Oceanography, Department of","KWON, YOUNG-OH",288380,"WIJFFELS, SUSAN",919229,5,0,0,0,1,0,0
"Physical Oceanography, Department of","KWON, YOUNG-OH",288380,"YANG, JIAYAN",370229,2,0,0,0,0,0,0
