Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Physics, Department of","ASHOORI, RAYMOND",5233,Boston College,"MA, QIONG",836765,1,0,0,0,0,0,0
"Physics, Department of","ASHOORI, RAYMOND",5233,Cornell University,"YASUDA, KENJI",2083265,1,0,0,0,0,0,0
"Physics, Department of","ASHOORI, RAYMOND",5233,Harvard University,"KAXIRAS, EFTHIMIOS",240606,1,0,0,0,0,0,0
"Physics, Department of","ASHOORI, RAYMOND",5233,Massachusetts Institute of Technology,"CHEEMA, SURAJ S",1997387,1,0,0,0,0,0,0
"Physics, Department of","ASHOORI, RAYMOND",5233,Massachusetts Institute of Technology,"FU, LIANG",544555,1,0,0,0,0,0,0
"Physics, Department of","ASHOORI, RAYMOND",5233,Massachusetts Institute of Technology,"JARILLO-HERRERO, PABLO",176526,3,0,0,0,0,0,0
"Physics, Department of","ASHOORI, RAYMOND",5233,Stanford University,"DEVAKUL, TRITHEP",1868605,1,0,0,0,0,0,0
"Physics, Department of","BARLETTA, WILLIAM",837855,"University of California, Riverside","BARISH, BARRY",220555,0,0,0,1,0,0,0
"Physics, Department of","BARLETTA, WILLIAM",837855,"University of Maryland, College Park","AYYUB, BILAL M",131996,1,0,0,0,0,0,0
"Physics, Department of","BARLETTA, WILLIAM",837855,University of Virginia,"LAMBERT, JAMES H",429802,1,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Baylor University,"BRINKERHOFF, ANDREW W",977416,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Baylor University,"DITTMANN, JAY R",29649,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Baylor University,"HATAKEYAMA, KENICHI",370113,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Boston University,"BUTLER, JOHN M",346908,3,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Boston University,"DEMIRAGLI, ZEYNEP",836252,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Boston University,"GOLF, FRANK",860268,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Boston University,"ROHLF, JAMES",162924,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Boston University,"SPERKA, DAVID",1090966,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Boston University,"SUAREZ, INDARA",919154,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Boston University,"SULAK, LAWRENCE R",88227,9,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Brandeis University,"APYAN, ARAM",1407609,156,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Brandeis University,"SCIOLLA, GABRIELLA",390688,3,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Brown University,"GOUSKOS, LOUKAS",1970473,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Brown University,"HEINTZ, ULRICH",354735,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Brown University,"LANDSBERG, GREG",152032,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Brown University,"ROLOFF, JENNIFER",1970474,3,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,California Institute of Technology,"NEWMAN, HARVEY B",72689,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,California Institute of Technology,"SPIROPULU, MARIA",398529,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,"California State University, Sacramento","MOSS, JOSHUA",1831880,3,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Carnegie Mellon University,"ALISON, JOHN D",877455,269,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Carnegie Mellon University,"CREMONESI, MATTEO",1740639,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Carnegie Mellon University,"DUTTA, VALENTINA",1740640,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Carnegie Mellon University,"PAULINI, MANFRED",115452,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Case Western Reserve University,"TAYLOR, CYRUS",125811,8,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Colorado State University,"BUCHANAN, NORMAN J",414459,1,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Columbia University,"BROOIJMANS, GUSTAAF H",14019,3,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Columbia University,"COLE, BRIAN A",137561,3,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Columbia University,"HUGHES, EMLYN WILLARD",51200,75,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Columbia University,"PARSONS, JOHN A",406816,3,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Columbia University,"TUTS, PHILIP MICHAEL",126949,3,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Cornell University,"ALEXANDER, JAMES P",1202,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Cornell University,"CHATTERJEE, SHAMIBRATA",1805373,1,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Cornell University,"DICKINSON, JENNET",2083071,137,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Cornell University,"PATTERSON, JULIET R",369786,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Cornell University,"RYD, ANDERS",163592,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Cornell University,"THOM-LEVY, JULIA",369760,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Cornell University,"WEBER, HANNSJORG",2083072,190,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Cornell University,"WITTICH, PETER",129702,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Duke University,"ARCE, AYANA T",435126,3,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Duke University,"KOTWAL, ASHUTOSH V",62453,3,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Duke University,"KRUSE, MARK C",74454,3,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Florida Institute of Technology,"DAS, SOUVIK",2015014,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Florida Institute of Technology,"HOHLMANN, MARCUS",299239,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,Florida State University,"ADAMS, TODD",934,270,0,0,0,0,0,0
