Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Physics, Department of","ASHOORI, RAYMOND",5233,"Materials Science and Engineering, Department of","CHEEMA, SURAJ S",1997387,1,0,0,0,0,0,0
"Physics, Department of","ASHOORI, RAYMOND",5233,"Physics, Department of","FU, LIANG",544555,1,0,0,0,0,0,0
"Physics, Department of","ASHOORI, RAYMOND",5233,"Physics, Department of","JARILLO-HERRERO, PABLO",176526,3,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,"Physics, Department of","HARRIS, PHILIP COLEMAN",827695,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,"Physics, Department of","INNOCENTI, GIAN MICHELE",836518,1,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,"Physics, Department of","LEE, YEN-JIE",627165,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,"Physics, Department of","PAUS, CHRISTOPH M. E",30783,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,"Physics, Department of","ROLAND, GUNTHER M",120362,269,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,"Physics, Department of","WYSLOUCH, BOLESLAW",116604,270,0,0,0,0,0,0
"Physics, Department of","TING, SAMUEL",16275,"Physics, Department of","FISHER, PETER H",142162,10,0,0,0,0,0,0
"Physics, Department of","CHAKRABORTY, ARUP K",17819,"Biological Engineering, Department of","IRVINE, DARRELL J",60069,1,0,0,0,0,0,0
"Physics, Department of","CHAKRABORTY, ARUP K",17819,"Physics, Department of","KARDAR, MEHRAN",57520,5,0,0,0,1,0,0
"Physics, Department of","CHAKRABORTY, ARUP K",17819,Institute for Medical Engineering and Science (IMES),"SHARP, PHILLIP A",122664,2,0,0,0,1,0,0
"Physics, Department of","CHAKRABORTY, ARUP K",17819,"Biology, Department of","YOUNG, RICHARD A",100462,2,0,0,0,2,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"Physics, Department of","CANIZARES, CLAUDE R",135925,1,0,0,1,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"Physics, Department of","EILERS, ANNA-CHRISTINA",1824002,1,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"Physics, Department of","EVANS, MATTHEW J",544569,1,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"Physics, Department of","FREBEL, ANNA L",544554,1,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"Physics, Department of","KARA, ERIN A",1108312,6,0,0,2,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"Physics, Department of","MAVALVALA, NERGIS",67570,1,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"Physics, Department of","MCDONALD, MICHAEL A",763122,0,0,0,1,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"Physics, Department of","MILLHOLLAND, SARAH C",1631700,1,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"Physics, Department of","RAPPAPORT, SAUL A",96133,3,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"Physics, Department of","SIMCOE, ROBERT A",123266,6,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"Mechanical Engineering, Department of","SUDHIR, VIVISHEK",837222,1,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"Earth, Atmospheric and Planetary Sciences, Department of","TEAGUE, RICHARD D",1362025,1,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"Physics, Department of","VANDERBURG, ANDREW MICHAEL",1109714,2,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"Physics, Department of","VITALE, SALVATORE",827691,1,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"Physics, Department of","WEISS, RAINER",503306,1,0,0,0,0,0,0
"Physics, Department of","CHUANG, ISAAC",21544,"Electrical Engineering and Computer Sciences, Department of","ENGLUND, DIRK R",261298,1,0,0,0,1,0,0
"Physics, Department of","CHUANG, ISAAC",21544,"Physics, Department of","FARHI, EDWARD H",141614,0,0,0,0,1,0,0
"Physics, Department of","CHUANG, ISAAC",21544,"Brain and Cognitive Sciences, Department of","FIETE, ILA R",34519,1,0,0,0,0,0,0
"Physics, Department of","CHUANG, ISAAC",21544,"Electrical Engineering and Computer Sciences, Department of","HAN, RUONAN",779077,1,0,0,0,1,0,0
"Physics, Department of","CHUANG, ISAAC",21544,"Physics, Department of","HARROW, ARAM W",410690,0,0,0,0,1,0,0
"Physics, Department of","CHUANG, ISAAC",21544,"Mathematics, Department of","SHOR, PETER WILLISTON",85149,0,0,0,0,1,0,0
"Physics, Department of","CHUANG, ISAAC",21544,"Physics, Department of","TEGMARK, MAX ERIK",168639,2,0,0,0,0,0,0
"Physics, Department of","CHUANG, ISAAC",21544,"Chemistry, Department of","VAN VOORHIS, TROY",127724,1,0,0,0,0,0,0
"Physics, Department of","DETMOLD, WILLIAM",28897,"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,1,0,0,0,0,0,0
"Physics, Department of","DETMOLD, WILLIAM",28897,"Physics, Department of","CHEN, OR",827693,2,0,0,0,0,0,0
"Physics, Department of","DETMOLD, WILLIAM",28897,"Physics, Department of","LEE, YEN-JIE",627165,1,0,0,0,0,0,0
"Physics, Department of","DETMOLD, WILLIAM",28897,"Physics, Department of","MILNER, RICHARD G",156681,2,0,0,0,0,0,0
"Physics, Department of","DETMOLD, WILLIAM",28897,"Physics, Department of","RAJAGOPAL, KRISHNA",77816,1,0,0,0,0,0,0
"Physics, Department of","DETMOLD, WILLIAM",28897,"Physics, Department of","ROLAND, GUNTHER M",120362,1,0,0,0,0,0,0
"Physics, Department of","DETMOLD, WILLIAM",28897,"Physics, Department of","SHANAHAN, PHIALA E",827409,16,0,0,3,1,0,0
"Physics, Department of","DETMOLD, WILLIAM",28897,"Physics, Department of","STEWART, IAIN W",87271,2,0,0,0,0,0,0
"Physics, Department of","DETMOLD, WILLIAM",28897,"Physics, Department of","WYSLOUCH, BOLESLAW",116604,1,0,0,0,0,0,0
"Physics, Department of","PAUS, CHRISTOPH M. E",30783,"Physics, Department of","BUSZA, WIT",15477,270,0,0,0,0,0,0
"Physics, Department of","PAUS, CHRISTOPH M. E",30783,"Physics, Department of","CHEN, OR",827693,9,0,0,0,0,0,0
"Physics, Department of","PAUS, CHRISTOPH M. E",30783,"Physics, Department of","HARRIS, PHILIP COLEMAN",827695,299,0,0,0,0,0,0
"Physics, Department of","PAUS, CHRISTOPH M. E",30783,"Physics, Department of","INNOCENTI, GIAN MICHELE",836518,2,0,0,0,0,0,0
"Physics, Department of","PAUS, CHRISTOPH M. E",30783,"Physics, Department of","LEE, YEN-JIE",627165,306,0,0,0,0,0,0
"Physics, Department of","PAUS, CHRISTOPH M. E",30783,"Physics, Department of","MILNER, RICHARD G",156681,9,0,0,0,0,0,0
"Physics, Department of","PAUS, CHRISTOPH M. E",30783,"Physics, Department of","ROLAND, GUNTHER M",120362,306,0,0,0,0,0,0
"Physics, Department of","PAUS, CHRISTOPH M. E",30783,"Physics, Department of","WILLIAMS, MICHAEL",544556,7,0,0,0,0,0,0
"Physics, Department of","PAUS, CHRISTOPH M. E",30783,"Physics, Department of","WYSLOUCH, BOLESLAW",116604,307,0,0,0,0,0,0
"Physics, Department of","FORMAGGIO, JOSEPH A",33722,"Physics, Department of","CONRAD, JANET MARIE",176520,1,0,0,0,0,0,0
"Physics, Department of","FORMAGGIO, JOSEPH A",33722,"Physics, Department of","MILNER, RICHARD G",156681,0,1,0,0,0,0,0
"Physics, Department of","FORMAGGIO, JOSEPH A",33722,"Electrical Engineering and Computer Sciences, Department of","O'BRIEN, KEVIN",856127,0,0,0,0,1,0,0
"Physics, Department of","FORMAGGIO, JOSEPH A",33722,"Electrical Engineering and Computer Sciences, Department of","OLIVER, WILLIAM D",1108296,1,0,0,0,0,0,0
"Physics, Department of","FORMAGGIO, JOSEPH A",33722,"Physics, Department of","WINSLOW, LINDLEY",502057,15,0,0,2,0,0,0
"Physics, Department of","GUTH, ALAN",41585,"Physics, Department of","KAISER, DAVID I",149551,0,0,0,0,1,0,0
"Physics, Department of","HEWITT, JACQUELINE N",45932,"Physics, Department of","TEGMARK, MAX ERIK",168639,1,0,0,0,0,0,0
