Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Physics, Department of",Massachusetts Institute of Technology,"Physics, Department of",96,2425,4,0,293,9,39,0
"Physics, Department of",Mercer University,"Physics, Department of",1,69,0,0,170,0,0,0
"Physics, Department of","Catholic University of America, The","Physics, Department of",4,21,0,0,1,0,0,0
"Physics, Department of",Stevens Institute of Technology,"Physics, Department of",1,1,0,0,1,0,0,0
"Physics, Department of",Springfield College,"Mathematics, Physics, and Computer Science, Department of",1,6,0,0,0,0,0,0
"Physics, Department of",University of Memphis,"Physics and Materials Science, Department of",1,5,0,0,0,0,0,0
"Physics, Department of",Hofstra University,"Physics and Astronomy, Department of",1,6,0,0,0,0,0,0
"Physics, Department of",University of Connecticut,"Physics, Department of",7,53,0,0,1,0,0,0
"Physics, Department of",Gonzaga University,"Physics, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",University of Texas Arlington,"Physics, Department of",16,161,0,0,176,0,0,0
"Physics, Department of",University of Missouri,"Physics and Astronomy, Department of",1,1,0,0,0,0,0,0
"Physics, Department of","Stony Brook University, State University of New York","Chemistry, Department of",1,7,0,0,0,0,0,0
"Physics, Department of","Stony Brook University, State University of New York","Physics and Astronomy, Department of",29,182,0,0,177,0,0,0
"Physics, Department of",University of North Carolina Wilmington,"Physics and Physical Oceanography, Department of",2,7,0,0,0,0,0,0
"Physics, Department of",Texas A&M Corpus Christi,"Physical and Environmental Sciences, Department of",1,2,0,0,0,0,0,0
"Physics, Department of",University of Central Florida,"Optics and Photonics, College of",4,46,0,0,13,0,2,0
"Physics, Department of",University of Central Florida,"Electrical and Computer Engineering, Department of",1,0,0,0,0,0,1,0
"Physics, Department of","University of California, San Diego","Electrical and Computer Engineering, Department of",1,1,0,0,0,0,0,0
"Physics, Department of","University of California, San Diego","Mathematics, Department of",1,1,0,0,0,0,0,0
"Physics, Department of","University of California, San Diego","Mechanical and Aerospace Engineering, Department of",1,9,0,0,1,0,0,0
"Physics, Department of","University of California, San Diego","Physics, Department of",19,342,0,0,8,0,0,0
"Physics, Department of","University of California, San Diego","Data Science Institute, Halicioglu",3,313,0,0,0,0,0,0
"Physics, Department of","University of California, San Diego","Astronomy and Astrophysics, Department of",9,23,0,0,4,0,0,0
"Physics, Department of",New Jersey Institute of Technology,"Physics, Department of",2,1,0,0,0,0,0,0
"Physics, Department of",New Jersey Institute of Technology,"Management, School of",1,1,0,0,0,0,0,0
"Physics, Department of",Dartmouth College,"Chemistry, Department of",1,3,0,1,0,0,0,0
"Physics, Department of",Dartmouth College,"Earth Sciences, Department of",1,16,0,0,0,0,0,0
"Physics, Department of",Dartmouth College,"Physics and Astronomy, Department of",7,24,0,1,0,0,0,0
"Physics, Department of",Dartmouth College,"Psychological and Brain Sciences, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",Dartmouth College,"Engineering, Thayer School of",1,1,0,0,0,0,0,0
"Physics, Department of",Dartmouth College,"Microbiology and Immunology, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",Dartmouth College,"Molecular and Systems Biology, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",George Mason University,"Physics and Astronomy, Department of",4,31,0,0,1,0,0,0
"Physics, Department of",Ohio University,"Physics and Astronomy, Department of",7,29,0,0,0,0,0,0
"Physics, Department of",Smith College,"Astronomy, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",Norfolk State University,"Physics, Department of",1,16,0,0,0,0,0,0
"Physics, Department of",Wichita State University,"Physics, Department of",3,17,0,0,0,0,0,0
"Physics, Department of",Northern Illinois University,"Physics, Department of",7,23,0,1,1,0,0,0
"Physics, Department of",Stephen F. Austin State University,"Physics, Engineering and Astronomy",1,79,0,0,0,0,0,0
"Physics, Department of",University of Hawai'i - Manoa,"Earth Sciences, Department of",1,8,0,0,0,0,0,0
"Physics, Department of",University of Hawai'i - Manoa,"Physics and Astronomy, Department of",9,51,0,0,4,0,0,0
"Physics, Department of",Villanova University,"Astrophysics and Planetary Science, Department of",2,1,0,0,0,0,0,0
"Physics, Department of",Villanova University,"Physics, Department of",1,2,0,0,0,0,0,0
"Physics, Department of",Colorado School of Mines,"Physics, Department of",6,6,0,0,0,0,0,0
"Physics, Department of",University of Rhode Island,"Physics, Department of",1,5,0,0,0,0,0,0
"Physics, Department of",Harvard University,"Astronomy, Department of",12,151,0,0,2,0,0,0
"Physics, Department of",Harvard University,"Chemistry and Chemical Biology, Department of",5,35,1,0,0,0,5,0
"Physics, Department of",Harvard University,"Earth and Planetary Science, Department of",2,9,0,0,0,0,0,0
"Physics, Department of",Harvard University,"Physics, Department of",25,161,1,0,177,1,12,0
"Physics, Department of",Harvard University,"Genetics, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",Harvard University,Environmental Science and Engineering Area,1,1,0,0,0,0,0,0
"Physics, Department of",Harvard University,Electrical Engineering Area,1,1,0,0,0,1,1,0
"Physics, Department of",Harvard University,Computer Science Area,3,3,0,0,0,0,0,0
"Physics, Department of",Harvard University,Applied Physics Area,7,33,1,0,7,0,1,0
"Physics, Department of",Harvard University,Applied Mathematics Area,1,13,1,0,0,0,0,0
"Physics, Department of",Harvard University,"Biomedical Informatics, Department of",2,1,0,0,0,0,0,0
"Physics, Department of",Harvard University,"Microbiology, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",Harvard University,"Immunology, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",Georgia Institute of Technology,"Aerospace Engineering, School of",1,9,0,0,0,0,0,0
"Physics, Department of",Georgia Institute of Technology,"Chemical and Biomolecular Engineering, School of",1,0,0,0,0,0,1,0
"Physics, Department of",Georgia Institute of Technology,"Computational Science and Engineering, School of",1,12,0,0,6,0,0,0
"Physics, Department of",Georgia Institute of Technology,"Earth and Atmospheric Sciences, School of",1,9,0,0,0,0,0,0
"Physics, Department of",Georgia Institute of Technology,"Electrical and Computer Engineering, School of",1,2,0,0,0,0,0,0
"Physics, Department of",Georgia Institute of Technology,"Physics, School of",8,125,0,0,170,0,0,0
"Physics, Department of","University of New Mexico, The","Electrical and Computer Engineering, Department of",2,4,0,0,0,1,0,0
"Physics, Department of","University of New Mexico, The","Mechanical Engineering, Department of",2,49,0,0,1,0,0,0
"Physics, Department of","University of New Mexico, The","Physics and Astronomy, Department of",8,262,0,0,1,0,0,0
"Physics, Department of",University of Houston,"Physics, Department of",10,209,0,0,1,0,0,0
