Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Physics, Department of","Physics, Department of",82,867,2,0,34,10,35,0
"Physics, Department of","Biological Engineering, Department of",6,5,0,0,2,0,1,0
"Physics, Department of","Biology, Department of",2,3,0,0,0,2,0,0
"Physics, Department of","Brain and Cognitive Sciences, Department of",2,2,0,0,2,0,0,0
"Physics, Department of","Chemical Engineering, Department of",5,2,0,0,0,0,3,0
"Physics, Department of","Chemistry, Department of",5,11,0,0,1,0,0,0
"Physics, Department of","Civil and Environmental Engineering, Department of",1,2,0,0,0,0,0,0
"Physics, Department of","Earth, Atmospheric and Planetary Sciences, Department of",7,20,0,0,0,0,0,0
"Physics, Department of","Electrical Engineering and Computer Sciences, Department of",21,19,0,0,8,9,8,0
"Physics, Department of","Institute for Data, Systems, and Society (IDSS)",1,2,0,0,1,0,0,0
"Physics, Department of",Institute for Medical Engineering and Science (IMES),3,3,0,0,0,1,1,0
"Physics, Department of","Management, Sloan School of",1,1,0,0,0,0,0,0
"Physics, Department of","Marine Chemistry and Geochemistry, Department of",1,1,0,0,0,0,0,0
"Physics, Department of","Materials Science and Engineering, Department of",11,25,0,0,1,1,5,0
"Physics, Department of","Mathematics, Department of",2,3,0,0,0,1,0,0
"Physics, Department of","Mechanical Engineering, Department of",9,47,0,0,3,0,4,0
"Physics, Department of","Media Arts and Sciences, Program in",1,1,0,0,2,0,0,0
"Physics, Department of","Nuclear Science and Engineering, Department of",9,25,0,0,0,2,0,0
"Physics, Department of","Political Science, Department of",2,1,0,0,0,0,0,0
