Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Physics, Department of","ASHOORI, RAYMOND",5233,"FU, LIANG",544555,1,0,0,0,0,0,0
"Physics, Department of","ASHOORI, RAYMOND",5233,"JARILLO-HERRERO, PABLO",176526,3,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,"HARRIS, PHILIP COLEMAN",827695,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,"INNOCENTI, GIAN MICHELE",836518,1,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,"LEE, YEN-JIE",627165,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,"PAUS, CHRISTOPH M. E",30783,270,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,"ROLAND, GUNTHER M",120362,269,0,0,0,0,0,0
"Physics, Department of","BUSZA, WIT",15477,"WYSLOUCH, BOLESLAW",116604,270,0,0,0,0,0,0
"Physics, Department of","TING, SAMUEL",16275,"FISHER, PETER H",142162,10,0,0,0,0,0,0
"Physics, Department of","CHAKRABORTY, ARUP K",17819,"KARDAR, MEHRAN",57520,5,0,0,0,1,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"CANIZARES, CLAUDE R",135925,1,0,0,1,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"EILERS, ANNA-CHRISTINA",1824002,1,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"EVANS, MATTHEW J",544569,1,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"FREBEL, ANNA L",544554,1,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"KARA, ERIN A",1108312,6,0,0,2,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"MAVALVALA, NERGIS",67570,1,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"MCDONALD, MICHAEL A",763122,0,0,0,1,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"MILLHOLLAND, SARAH C",1631700,1,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"RAPPAPORT, SAUL A",96133,3,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"SIMCOE, ROBERT A",123266,6,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"VANDERBURG, ANDREW MICHAEL",1109714,2,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"VITALE, SALVATORE",827691,1,0,0,0,0,0,0
"Physics, Department of","CHAKRABARTY, DEEPTO",18739,"WEISS, RAINER",503306,1,0,0,0,0,0,0
"Physics, Department of","CHUANG, ISAAC",21544,"FARHI, EDWARD H",141614,0,0,0,0,1,0,0
"Physics, Department of","CHUANG, ISAAC",21544,"HARROW, ARAM W",410690,0,0,0,0,1,0,0
"Physics, Department of","CHUANG, ISAAC",21544,"TEGMARK, MAX ERIK",168639,2,0,0,0,0,0,0
"Physics, Department of","DETMOLD, WILLIAM",28897,"CHEN, OR",827693,2,0,0,0,0,0,0
"Physics, Department of","DETMOLD, WILLIAM",28897,"LEE, YEN-JIE",627165,1,0,0,0,0,0,0
"Physics, Department of","DETMOLD, WILLIAM",28897,"MILNER, RICHARD G",156681,2,0,0,0,0,0,0
"Physics, Department of","DETMOLD, WILLIAM",28897,"RAJAGOPAL, KRISHNA",77816,1,0,0,0,0,0,0
"Physics, Department of","DETMOLD, WILLIAM",28897,"ROLAND, GUNTHER M",120362,1,0,0,0,0,0,0
"Physics, Department of","DETMOLD, WILLIAM",28897,"SHANAHAN, PHIALA E",827409,16,0,0,3,1,0,0
"Physics, Department of","DETMOLD, WILLIAM",28897,"STEWART, IAIN W",87271,2,0,0,0,0,0,0
"Physics, Department of","DETMOLD, WILLIAM",28897,"WYSLOUCH, BOLESLAW",116604,1,0,0,0,0,0,0
"Physics, Department of","PAUS, CHRISTOPH M. E",30783,"BUSZA, WIT",15477,270,0,0,0,0,0,0
"Physics, Department of","PAUS, CHRISTOPH M. E",30783,"CHEN, OR",827693,9,0,0,0,0,0,0
"Physics, Department of","PAUS, CHRISTOPH M. E",30783,"HARRIS, PHILIP COLEMAN",827695,299,0,0,0,0,0,0
"Physics, Department of","PAUS, CHRISTOPH M. E",30783,"INNOCENTI, GIAN MICHELE",836518,2,0,0,0,0,0,0
"Physics, Department of","PAUS, CHRISTOPH M. E",30783,"LEE, YEN-JIE",627165,306,0,0,0,0,0,0
"Physics, Department of","PAUS, CHRISTOPH M. E",30783,"MILNER, RICHARD G",156681,9,0,0,0,0,0,0
"Physics, Department of","PAUS, CHRISTOPH M. E",30783,"ROLAND, GUNTHER M",120362,306,0,0,0,0,0,0
"Physics, Department of","PAUS, CHRISTOPH M. E",30783,"WILLIAMS, MICHAEL",544556,7,0,0,0,0,0,0
"Physics, Department of","PAUS, CHRISTOPH M. E",30783,"WYSLOUCH, BOLESLAW",116604,307,0,0,0,0,0,0
"Physics, Department of","FORMAGGIO, JOSEPH A",33722,"CONRAD, JANET MARIE",176520,1,0,0,0,0,0,0
"Physics, Department of","FORMAGGIO, JOSEPH A",33722,"MILNER, RICHARD G",156681,0,1,0,0,0,0,0
"Physics, Department of","FORMAGGIO, JOSEPH A",33722,"WINSLOW, LINDLEY",502057,15,0,0,2,0,0,0
"Physics, Department of","GUTH, ALAN",41585,"KAISER, DAVID I",149551,0,0,0,0,1,0,0
"Physics, Department of","HEWITT, JACQUELINE N",45932,"TEGMARK, MAX ERIK",168639,1,0,0,0,0,0,0
"Physics, Department of","JOANNOPOULOS, JOHN",51541,"FISHER, PETER H",142162,0,0,0,0,0,6,0
"Physics, Department of","JOANNOPOULOS, JOHN",51541,"FU, LIANG",544555,1,0,0,0,0,0,0
"Physics, Department of","JOANNOPOULOS, JOHN",51541,"JOHNSON, STEVEN G",288194,5,0,0,5,0,2,0
"Physics, Department of","JOANNOPOULOS, JOHN",51541,"SOLJACIC, MARIN",104902,18,0,0,8,0,23,0
"Physics, Department of","KARDAR, MEHRAN",57520,"CHAKRABORTY, ARUP K",17819,5,0,0,0,1,0,0
"Physics, Department of","KARDAR, MEHRAN",57520,"TAILLEUR, JULIEN G",1631701,4,0,0,0,0,0,0
"Physics, Department of","HUGHES, SCOTT A",58760,"KARA, ERIN A",1108312,1,0,0,0,0,0,0
"Physics, Department of","HUGHES, SCOTT A",58760,"RAPPAPORT, SAUL A",96133,1,0,0,0,0,0,0
"Physics, Department of","TAYLOR, WASHINGTON",60252,"JAFFE, ROBERT L",288070,0,1,0,0,0,0,0
"Physics, Department of","LEVITOV, LEONID",67444,"JARILLO-HERRERO, PABLO",176526,1,0,0,0,0,0,0
"Physics, Department of","LEVITOV, LEONID",67444,"LEE, PATRICK A",87714,1,0,0,0,0,0,0
"Physics, Department of","MAVALVALA, NERGIS",67570,"CHAKRABARTY, DEEPTO",18739,1,0,0,0,0,0,0
"Physics, Department of","MAVALVALA, NERGIS",67570,"EVANS, MATTHEW J",544569,57,0,0,0,0,0,0
"Physics, Department of","MAVALVALA, NERGIS",67570,"MASUI, KIYOSHI",856135,1,0,0,0,0,0,0
"Physics, Department of","MAVALVALA, NERGIS",67570,"VITALE, SALVATORE",827691,47,0,0,0,0,0,0
"Physics, Department of","MAVALVALA, NERGIS",67570,"WEISS, RAINER",503306,56,0,0,0,0,0,0
"Physics, Department of","RAJAGOPAL, KRISHNA",77816,"CHEN, OR",827693,1,0,0,0,0,0,0
"Physics, Department of","RAJAGOPAL, KRISHNA",77816,"DETMOLD, WILLIAM",28897,1,0,0,0,0,0,0
"Physics, Department of","RAJAGOPAL, KRISHNA",77816,"LEE, YEN-JIE",627165,1,0,0,0,0,0,0
"Physics, Department of","RAJAGOPAL, KRISHNA",77816,"MILNER, RICHARD G",156681,1,0,0,0,0,0,0
"Physics, Department of","RAJAGOPAL, KRISHNA",77816,"ROLAND, GUNTHER M",120362,1,0,0,0,0,0,0
"Physics, Department of","RAJAGOPAL, KRISHNA",77816,"SHANAHAN, PHIALA E",827409,1,0,0,0,0,0,0
"Physics, Department of","RAJAGOPAL, KRISHNA",77816,"STEWART, IAIN W",87271,1,0,0,0,0,0,0
