Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Political Science, Department of","BERINSKY, ADAM",8842,Brigham Young University,"KARPOWITZ, CHRIS",319027,1,0,0,0,0,0,0
"Political Science, Department of","BERINSKY, ADAM",8842,Cornell University,"PENNYCOOK, GORDON R",1913515,7,0,0,0,0,0,0
"Political Science, Department of","BERINSKY, ADAM",8842,George Mason University,"COOK, JOHN",814251,1,0,0,0,0,0,0
"Political Science, Department of","BERINSKY, ADAM",8842,George Washington University,"WARSHAW, CHRISTOPHER S",544593,1,0,0,0,0,0,0
"Political Science, Department of","BERINSKY, ADAM",8842,Harvard University,"BAUM, MATTHEW A",241183,1,0,0,0,0,0,0
"Political Science, Department of","BERINSKY, ADAM",8842,Harvard University,"DE BENEDICTIS-KESSNER, JUSTIN",1090914,1,0,0,0,0,0,0
"Political Science, Department of","BERINSKY, ADAM",8842,Massachusetts Institute of Technology,"KARGER, DAVID R",57526,1,0,0,0,0,0,0
"Political Science, Department of","BERINSKY, ADAM",8842,Massachusetts Institute of Technology,"LU, GUANNAN",856131,1,0,0,0,0,0,0
"Political Science, Department of","BERINSKY, ADAM",8842,Massachusetts Institute of Technology,"RAND, DAVID GERTLER",540961,13,0,0,0,1,0,0
"Political Science, Department of","BERINSKY, ADAM",8842,Massachusetts Institute of Technology,"YAMAMOTO, TEPPEI",488106,2,0,0,0,1,0,0
"Political Science, Department of","BERINSKY, ADAM",8842,New York University,"JOST, JOHN",293361,1,0,0,0,0,0,0
"Political Science, Department of","BERINSKY, ADAM",8842,New York University,"TUCKER, JOSHUA",184177,1,0,0,0,0,0,0
"Political Science, Department of","BERINSKY, ADAM",8842,Northeastern University,"SWIRE-THOMPSON, BRIONY",1500736,1,0,0,0,0,0,0
"Political Science, Department of","BERINSKY, ADAM",8842,"Ohio State University, The","HUANG, HAIFENG",621606,1,0,0,0,0,0,0
"Political Science, Department of","BERINSKY, ADAM",8842,Princeton University,"GUESS, ANDREW MARKUS",826146,2,0,0,0,0,0,0
"Political Science, Department of","BERINSKY, ADAM",8842,Rutgers - New Brunswick,"GARIMELLA, VENKATA RAMA",1504802,1,0,0,0,0,0,0
"Political Science, Department of","BERINSKY, ADAM",8842,Stanford University,"RODDEN, JONATHAN A",98523,1,0,0,0,0,0,0
