Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Political Science, Department of","BERINSKY, ADAM",8842,"Electrical Engineering and Computer Sciences, Department of","KARGER, DAVID R",57526,1,0,0,0,0,0,0
"Political Science, Department of","BERINSKY, ADAM",8842,"Management, Sloan School of","LU, GUANNAN",856131,1,0,0,0,0,0,0
"Political Science, Department of","BERINSKY, ADAM",8842,"Brain and Cognitive Sciences, Department of","RAND, DAVID GERTLER",540961,13,0,0,0,1,0,0
"Political Science, Department of","BERINSKY, ADAM",8842,"Political Science, Department of","YAMAMOTO, TEPPEI",488106,2,0,0,0,1,0,0
"Political Science, Department of","LAWSON, CHAPPELL",59121,"Political Science, Department of","CHRISTIA, FOTINI",176625,1,0,0,0,0,0,0
"Political Science, Department of","LAWSON, CHAPPELL",59121,"Political Science, Department of","NIELSEN, RICHARD ALEXANDER",627169,1,0,0,0,0,0,0
"Political Science, Department of","FRAVEL, MARIS TAYLOR",142698,"Physics, Department of","FISHER, PETER H",142162,1,0,0,0,0,0,0
"Political Science, Department of","FRAVEL, MARIS TAYLOR",142698,"Management, Sloan School of","HUANG, YASHENG",51003,1,0,0,0,0,0,0
"Political Science, Department of","FRAVEL, MARIS TAYLOR",142698,"Nuclear Science and Engineering, Department of","LESTER, RICHARD K",152796,1,0,0,0,0,0,0
"Political Science, Department of","FRAVEL, MARIS TAYLOR",142698,"Electrical Engineering and Computer Sciences, Department of","RUS, DANIELA L",175959,1,0,0,0,0,0,0
"Political Science, Department of","FRAVEL, MARIS TAYLOR",142698,"Political Science, Department of","TSAI, LILY L",169526,1,0,0,0,0,0,0
"Political Science, Department of","LIEBERMAN, EVAN S",153159,"Political Science, Department of","CHARNYSH, VOLHA",845319,1,0,0,0,0,0,0
"Political Science, Department of","TSAI, LILY L",169526,"Political Science, Department of","CHRISTIA, FOTINI",176625,1,0,0,0,0,0,0
"Political Science, Department of","TSAI, LILY L",169526,"Physics, Department of","FISHER, PETER H",142162,1,0,0,0,0,0,0
"Political Science, Department of","TSAI, LILY L",169526,"Political Science, Department of","FRAVEL, MARIS TAYLOR",142698,1,0,0,0,0,0,0
"Political Science, Department of","TSAI, LILY L",169526,"Management, Sloan School of","HUANG, YASHENG",51003,1,0,0,0,0,0,0
"Political Science, Department of","TSAI, LILY L",169526,"Nuclear Science and Engineering, Department of","LESTER, RICHARD K",152796,1,0,0,0,0,0,0
"Political Science, Department of","TSAI, LILY L",169526,"Institute for Data, Systems, and Society (IDSS)","PENTLAND, ALEX PAUL",115847,2,0,0,0,0,0,0
"Political Science, Department of","TSAI, LILY L",169526,"Electrical Engineering and Computer Sciences, Department of","RUS, DANIELA L",175959,1,0,0,0,0,0,0
"Political Science, Department of","TSAI, LILY L",169526,"Institute for Data, Systems, and Society (IDSS)","WILLIAMS, SARAH E",544597,1,0,0,0,0,0,0
"Political Science, Department of","CHRISTIA, FOTINI",176625,"Electrical Engineering and Computer Sciences, Department of","DASKALAKIS, KONSTANTINOS",370152,1,0,0,0,0,0,0
"Political Science, Department of","CHRISTIA, FOTINI",176625,"Electrical Engineering and Computer Sciences, Department of","DEMAINE, ERIK D",139391,1,0,0,0,0,0,0
"Political Science, Department of","CHRISTIA, FOTINI",176625,"Electrical Engineering and Computer Sciences, Department of","GHASSEMI, MARZYEH",836383,2,0,0,0,0,0,0
"Political Science, Department of","CHRISTIA, FOTINI",176625,"Institute for Data, Systems, and Society (IDSS)","HOSOI, ANETTE E",50247,1,0,0,0,0,0,0
"Political Science, Department of","CHRISTIA, FOTINI",176625,"Civil and Environmental Engineering, Department of","JADBABAIE-MOGHADAM, ALI",60885,1,0,0,0,0,0,0
"Political Science, Department of","CHRISTIA, FOTINI",176625,"Political Science, Department of","LAWSON, CHAPPELL",59121,1,0,0,0,0,0,0
"Political Science, Department of","CHRISTIA, FOTINI",176625,"Political Science, Department of","NIELSEN, RICHARD ALEXANDER",627169,1,0,0,0,0,0,0
"Political Science, Department of","CHRISTIA, FOTINI",176625,"Political Science, Department of","TSAI, LILY L",169526,1,0,0,0,0,0,0
"Political Science, Department of","NARANG, VIPIN",412289,"Political Science, Department of","TALMADGE, ELISABETH ROSEMARY CAITLIN",450982,1,0,0,0,0,0,0
"Political Science, Department of","TALMADGE, ELISABETH ROSEMARY CAITLIN",450982,"Political Science, Department of","NARANG, VIPIN",412289,1,0,0,0,0,0,0
"Political Science, Department of","YAMAMOTO, TEPPEI",488106,"Political Science, Department of","BERINSKY, ADAM",8842,2,0,0,0,1,0,0
"Political Science, Department of","NIELSEN, RICHARD ALEXANDER",627169,"Political Science, Department of","CHRISTIA, FOTINI",176625,1,0,0,0,0,0,0
"Political Science, Department of","NIELSEN, RICHARD ALEXANDER",627169,"Political Science, Department of","LAWSON, CHAPPELL",59121,1,0,0,0,0,0,0
"Political Science, Department of","NATHAN, NOAH L",809559,"Political Science, Department of","WHITE, ARIEL R",827648,0,0,1,0,0,0,0
"Political Science, Department of","WHITE, ARIEL R",827648,"Political Science, Department of","NATHAN, NOAH L",809559,0,0,1,0,0,0,0
"Political Science, Department of","CHARNYSH, VOLHA",845319,"Political Science, Department of","LIEBERMAN, EVAN S",153159,1,0,0,0,0,0,0
"Political Science, Department of","STEWART, CHARLES H",305129,"Electrical Engineering and Computer Sciences, Department of","RIVEST, RONALD L",98082,0,0,0,0,1,0,0
"Political Science, Department of","SCHNEIDER, BEN ROSS",289264,"Urban Studies and Planning, Department of","REYNOLDS, ELISABETH BECK",919226,0,1,0,0,0,0,0
