Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Political Science, Department of",Massachusetts Institute of Technology,"Political Science, Department of",23,66,15,0,0,1,0,0
"Political Science, Department of",American University,"International Service, School of",1,1,0,0,0,0,0,0
"Political Science, Department of",Arkansas State University,"Political Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",Boston College,"Political Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",Boston University,"Political Science, Department of",1,2,0,0,0,0,0,0
"Political Science, Department of",Brigham Young University,"Political Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",Brown University,"Political Science, Department of",3,2,2,0,0,0,0,0
"Political Science, Department of",Case Western Reserve University,"Political Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",Clark University,"Political Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",Columbia University,"History, Department of",1,0,1,0,0,0,0,0
"Political Science, Department of",Columbia University,"Political Science, Department of",4,3,2,2,0,0,0,0
"Political Science, Department of",Columbia University,"International and Public Affairs, School of",1,1,1,2,0,0,0,0
"Political Science, Department of",Cornell University,"Psychology, Department of",1,7,0,0,0,0,0,0
"Political Science, Department of",Dartmouth College,"Government, Department of",2,2,0,0,0,0,0,0
"Political Science, Department of",Duke University,"Political Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",Emory University,"Political Science, Department of",2,2,0,0,0,0,0,0
"Political Science, Department of",Florida State University,"Political Science, Department of",2,3,0,0,0,0,0,0
"Political Science, Department of",George Mason University,"Communication, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",George Mason University,"Policy and Government, School of",1,1,0,0,0,0,0,0
"Political Science, Department of",George Washington University,"Political Science, Department of",1,1,1,0,0,0,0,0
"Political Science, Department of",Georgia State University,"Communication, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",Harvard University,"Biostatistics, Department of",1,2,0,0,0,0,0,0
"Political Science, Department of",Harvard University,"Government, Department of",5,5,1,0,0,0,0,0
"Political Science, Department of",Harvard University,"Sociology, Department of",3,2,1,0,0,0,0,0
"Political Science, Department of",Harvard University,"Statistics, Department of",1,2,0,0,0,0,0,0
"Political Science, Department of",Harvard University,"Government, John F. Kennedy School of",5,4,1,0,0,0,0,0
"Political Science, Department of",Harvard University,"Social and Behavioral Sciences, Department of",1,2,0,0,0,0,0,0
"Political Science, Department of",Harvard University,"Health Policy and Management, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",Harvard University,"Education, Graduate School of",1,1,0,0,0,0,0,0
"Political Science, Department of",Johns Hopkins University,"Political Science, Department of",2,1,2,0,0,0,0,0
"Political Science, Department of",Johns Hopkins University,"Applied Mathematics and Statistics, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",Michigan State University,"Political Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",New York University,"Politics, Department of",3,3,0,0,0,0,0,0
"Political Science, Department of",New York University,"Psychology, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",Northeastern University,"Political Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",Northeastern University,"Psychology, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",Northwestern University,"Political Science, Department of",2,1,1,0,0,0,0,0
"Political Science, Department of","Ohio State University, The","Political Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",Princeton University,"Politics, Department of",5,4,0,2,0,0,0,0
"Political Science, Department of",Princeton University,"Public and International Affairs, School of",4,3,0,2,0,0,0,0
"Political Science, Department of",Purdue University,"Political Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",Rutgers - New Brunswick,"Library and Information Science, Department of",1,2,0,0,0,0,0,0
"Political Science, Department of",Saint Louis University,"Political Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",Stanford University,"Political Science, Department of",3,3,1,3,0,0,0,0
"Political Science, Department of",Stanford University,"Biomedical Data Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of","Stony Brook University, State University of New York","Political Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",Temple University,"Political Science, Department of",1,3,0,1,0,0,0,0
"Political Science, Department of",Texas A&M University,"International Affairs, Department of",2,1,0,0,0,0,0,0
"Political Science, Department of","University of Texas at Austin, The","Government, Department of",1,0,1,0,0,0,0,0
"Political Science, Department of","University of California, Berkeley","Political Science, Department of",4,4,2,3,0,0,0,0
"Political Science, Department of","University of California, Berkeley","Public Policy, School of",1,1,0,0,0,0,0,0
"Political Science, Department of","University of California, Irvine","Sociology, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of","University of California, Los Angeles","Computer Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of","University of California, Los Angeles","Political Science, Department of",4,4,0,0,0,0,0,0
"Political Science, Department of","University of California, Los Angeles","Environment and Sustainability, Institute of the",1,1,0,0,0,0,0,0
"Political Science, Department of","University of California, San Diego","Psychology, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of","University of California, San Diego","Global Policy and Strategy, School of",1,1,0,0,0,0,0,0
"Political Science, Department of","University of California, Santa Barbara","Political Science, Department of",1,0,2,1,0,0,0,0
"Political Science, Department of","University of Chicago, The","Political Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of","University of Chicago, The","Statistics, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of","University of Chicago, The","Public Policy, Harris School of",1,1,0,0,0,0,0,0
"Political Science, Department of","University of Cincinnati, The","Public and International Affairs, School of",1,1,0,0,0,0,0,0
"Political Science, Department of",University of Connecticut,"Political Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",University of Denver,"Political Science, Department of",1,1,1,1,0,0,0,0
"Political Science, Department of",University of Florida,"Sociology and Criminology and Law, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",University of Florida,"Latin American Studies, Center for",1,1,0,0,0,0,0,0
"Political Science, Department of",University of Illinois at Urbana-Champaign,"Political Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of","University of Iowa, The","Political Science, Department of",1,0,2,0,0,0,0,0
"Political Science, Department of","University of Maryland, College Park","Computer Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of","University of Maryland, College Park","Government and Politics, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",University of Miami,"Political Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",University of Michigan,"Germanic Languages and Literatures, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",University of Michigan,"History, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",University of Michigan,"Information, School of",1,1,0,0,0,0,0,0
"Political Science, Department of",University of Michigan,"Computer Science and Engineering, Division of",1,1,0,0,0,0,0,0
"Political Science, Department of",University of Notre Dame,"Political Science, Department of",1,0,2,0,0,0,0,0
"Political Science, Department of",University of Pennsylvania,"Operations, Information and Decisions, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",University of Pennsylvania,"Political Science, Department of",4,6,0,1,0,0,0,0
"Political Science, Department of",University of Rhode Island,"Mechanical, Industrial, and Systems Engineering, Department of",1,0,0,0,0,1,0,0
"Political Science, Department of",University of Rochester,"Political Science, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",University of San Diego,"Political Science and International Relations, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",University of Southern California,"Political Science and International Relations, Department of",2,3,0,2,0,0,0,0
"Political Science, Department of",University of Southern California,"Public Policy, School of",1,2,0,2,0,0,0,0
"Political Science, Department of",University of Virginia,"Politics, Department of",1,0,2,1,0,0,0,0
"Political Science, Department of",University of Washington,"Computer Science & Engineering, Paul G. Allen School of",1,1,0,0,0,0,0,0
"Political Science, Department of",University of Wisconsin - Madison,"Public Affairs, La Follette School of",1,0,1,0,0,0,0,0
"Political Science, Department of",University of Wisconsin - Madison,"Political Science, Department of",1,0,1,0,0,0,0,0
"Political Science, Department of",Vanderbilt University,"Political Science, Department of",2,2,0,0,0,0,0,0
"Political Science, Department of",Vanderbilt University,"Psychology and Human Development, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of",Vanderbilt University,"Gender and Sexuality Studies, Department for",1,1,0,0,0,0,0,0
"Political Science, Department of",Yale University,"Political Science, Department of",5,5,1,2,0,0,0,0
