Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Political Science, Department of","Political Science, Department of",13,7,0,1,0,1,0,0
"Political Science, Department of","Brain and Cognitive Sciences, Department of",1,13,0,0,0,1,0,0
"Political Science, Department of","Civil and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of","Electrical Engineering and Computer Sciences, Department of",6,5,0,0,0,1,0,0
"Political Science, Department of","Institute for Data, Systems, and Society (IDSS)",5,18,0,0,0,1,0,0
"Political Science, Department of",Institute for Medical Engineering and Science (IMES),1,2,0,0,0,0,0,0
"Political Science, Department of","Management, Sloan School of",3,14,0,0,0,1,0,0
"Political Science, Department of","Mathematics, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of","Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of","Media Arts and Sciences, Program in",1,2,0,0,0,0,0,0
"Political Science, Department of","Nuclear Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of","Physics, Department of",1,1,0,0,0,0,0,0
"Political Science, Department of","Urban Studies and Planning, Department of",2,1,1,0,0,0,0,0
