Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Political Science, Department of","BERINSKY, ADAM",8842,"YAMAMOTO, TEPPEI",488106,2,0,0,0,1,0,0
"Political Science, Department of","LAWSON, CHAPPELL",59121,"CHRISTIA, FOTINI",176625,1,0,0,0,0,0,0
"Political Science, Department of","LAWSON, CHAPPELL",59121,"NIELSEN, RICHARD ALEXANDER",627169,1,0,0,0,0,0,0
"Political Science, Department of","FRAVEL, MARIS TAYLOR",142698,"TSAI, LILY L",169526,1,0,0,0,0,0,0
"Political Science, Department of","LIEBERMAN, EVAN S",153159,"CHARNYSH, VOLHA",845319,1,0,0,0,0,0,0
"Political Science, Department of","TSAI, LILY L",169526,"CHRISTIA, FOTINI",176625,1,0,0,0,0,0,0
"Political Science, Department of","TSAI, LILY L",169526,"FRAVEL, MARIS TAYLOR",142698,1,0,0,0,0,0,0
"Political Science, Department of","CHRISTIA, FOTINI",176625,"LAWSON, CHAPPELL",59121,1,0,0,0,0,0,0
"Political Science, Department of","CHRISTIA, FOTINI",176625,"NIELSEN, RICHARD ALEXANDER",627169,1,0,0,0,0,0,0
"Political Science, Department of","CHRISTIA, FOTINI",176625,"TSAI, LILY L",169526,1,0,0,0,0,0,0
"Political Science, Department of","NARANG, VIPIN",412289,"TALMADGE, ELISABETH ROSEMARY CAITLIN",450982,1,0,0,0,0,0,0
"Political Science, Department of","TALMADGE, ELISABETH ROSEMARY CAITLIN",450982,"NARANG, VIPIN",412289,1,0,0,0,0,0,0
"Political Science, Department of","YAMAMOTO, TEPPEI",488106,"BERINSKY, ADAM",8842,2,0,0,0,1,0,0
"Political Science, Department of","NIELSEN, RICHARD ALEXANDER",627169,"CHRISTIA, FOTINI",176625,1,0,0,0,0,0,0
"Political Science, Department of","NIELSEN, RICHARD ALEXANDER",627169,"LAWSON, CHAPPELL",59121,1,0,0,0,0,0,0
"Political Science, Department of","NATHAN, NOAH L",809559,"WHITE, ARIEL R",827648,0,0,1,0,0,0,0
"Political Science, Department of","WHITE, ARIEL R",827648,"NATHAN, NOAH L",809559,0,0,1,0,0,0,0
"Political Science, Department of","CHARNYSH, VOLHA",845319,"LIEBERMAN, EVAN S",153159,1,0,0,0,0,0,0
"Political Science, Department of","CAMPBELL, ANDREA",15331,,,,,,,,,
"Political Science, Department of","CAUGHEY, DEVIN",627168,,,,,,,,,
"Political Science, Department of","GRINBERG, MARIYA",1351839,,,,,,,,,
"Political Science, Department of","HASSAN, MAI O",809558,,,,,,,,,
"Political Science, Department of","HIDALGO, FERNANDO DANIEL",544591,,,,,,,,,
"Political Science, Department of","KIM, IN SONG",779085,,,,,,,,,
"Political Science, Department of","LIN-GREENBERG, ERIK",1084693,,,,,,,,,
"Political Science, Department of","PETERSEN, ROGER D",75913,,,,,,,,,
"Political Science, Department of","POSEN, BARRY R",117825,,,,,,,,,
"Political Science, Department of","SAMUELS, RICHARD J",121296,,,,,,,,,
"Political Science, Department of","SCHNEIDER, BEN ROSS",289264,,,,,,,,,
"Political Science, Department of","SINGER, DAVID",85582,,,,,,,,,
"Political Science, Department of","STEWART, CHARLES H",305129,,,,,,,,,
"Political Science, Department of","THELEN, KATHLEEN",289504,,,,,,,,,
"Political Science, Department of","ZACKA, BERNARDO",642174,,,,,,,,,
