Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Science, Technology and Society, Program in","BROWN, KATHRYN LAKE",353414,Cornell University,"JOHNSON, ELIZABETH L",956974,1,0,0,0,0,0,0
"Science, Technology and Society, Program in","BROWN, KATHRYN LAKE",353414,Harvard University,"CHRISTIANI, DAVID",241147,1,0,0,0,0,0,0
"Science, Technology and Society, Program in","BROWN, KATHRYN LAKE",353414,Harvard University,"PERRIMON, NORBERT",75813,1,0,0,0,0,0,0
"Science, Technology and Society, Program in","BROWN, KATHRYN LAKE",353414,Northwestern University,"AMATO, KATHERINE RYAN",766120,1,0,0,0,0,0,0
"Science, Technology and Society, Program in","BROWN, KATHRYN LAKE",353414,Princeton University,"COLOMINA, BEATRIZ",137683,1,0,0,0,0,0,0
"Science, Technology and Society, Program in","BROWN, KATHRYN LAKE",353414,Princeton University,"MEGGERS, FORREST MICHAEL",542780,1,0,0,0,0,0,0
"Science, Technology and Society, Program in","BROWN, KATHRYN LAKE",353414,Rutgers - New Brunswick,"DOMINGUEZ, MARIA GLORIA",788649,1,0,0,0,0,0,0
"Science, Technology and Society, Program in","BROWN, KATHRYN LAKE",353414,Rutgers - New Brunswick,"ZHAO, LIPING",829816,1,0,0,0,0,0,0
"Science, Technology and Society, Program in","BROWN, KATHRYN LAKE",353414,University of Delaware,"MELBY, MELISSA KATHLEEN",515224,1,0,0,0,0,0,0
"Science, Technology and Society, Program in","BROWN, KATHRYN LAKE",353414,University of Oregon,"BOHANNAN, BRENDAN J. M",134104,1,0,0,0,0,0,0
"Science, Technology and Society, Program in","BROWN, KATHRYN LAKE",353414,University of Oregon,"GUILLEMIN, KAREN J",42917,1,0,0,0,0,0,0
"Science, Technology and Society, Program in","BROWN, KATHRYN LAKE",353414,"University of Texas Health Science Center at Houston, The","VAN LOO, PETER",1500620,2,0,0,0,0,0,0
"Science, Technology and Society, Program in","BROWN, KATHRYN LAKE",353414,"University of Texas Health Science Center at Houston, The","YUAN, YINYIN",1773211,2,0,0,0,0,0,0
