Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Science, Technology and Society, Program in",Massachusetts Institute of Technology,"Science, Technology and Society, Program in",6,9,3,0,0,0,0,0
"Science, Technology and Society, Program in",Brown University,"History, Department of",1,0,1,0,0,0,0,0
"Science, Technology and Society, Program in",Carnegie Mellon University,"Computer Science, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",Carnegie Mellon University,"Machine Learning, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",Carnegie Mellon University,"Philosophy, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",Carnegie Mellon University,Neuroscience Institute,1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",Carnegie Mellon University,Robotics Institute,1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",Columbia University,"Computer Science, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",Columbia University,"East Asian Languages and Cultures, Department of",1,0,1,0,0,0,0,0
"Science, Technology and Society, Program in",Cornell University,"Nutritional Sciences, Division of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",George Mason University,"History and Art History, Department of",1,0,1,0,0,0,0,0
"Science, Technology and Society, Program in",Harvard University,"Genetics, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",Harvard University,"Epidemiology, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",Harvard University,"Environmental Health, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",Harvard University,Computer Science Area,1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",Indiana University - Bloomington,"Informatics, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",Northwestern University,"Anthropology, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",Princeton University,"Architecture, School of",2,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",Rice University,"Physics and Astronomy, Department of",1,2,0,0,0,0,0,0
"Science, Technology and Society, Program in",Rutgers - New Brunswick,"Biochemistry and Microbiology, Department of",2,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",Stanford University,"Electrical Engineering, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in","University of Texas at Austin, The","Computer Sciences, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in","University of Texas at Austin, The","Physics, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in","University of California, Berkeley","Physics, Department of",2,1,0,0,0,0,0,0
"Science, Technology and Society, Program in","University of California, Santa Barbara","History, Department of",1,0,1,0,0,0,0,0
"Science, Technology and Society, Program in",University of Delaware,"Anthropology, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",University of Illinois Chicago,"Physics, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",University of Michigan,"Public Policy, School of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in","University of New Mexico, The","Physics and Astronomy, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",University of North Carolina at Chapel Hill,"Physics and Astronomy, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",University of Notre Dame,"Philosophy, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",University of Oklahoma,"Physics and Astronomy, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",University of Oregon,"Biology, Department of",2,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",University of Pennsylvania,"Earth and Environmental Science, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",University of Pennsylvania,"Communication, School for",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",University of Southern California,"Anthropology, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in",University of Virginia,"Sociology, Department of",1,1,0,0,0,0,0,0
"Science, Technology and Society, Program in","University of Texas Health Science Center at Houston, The","Genetics & Epigenetics, Department of",1,2,0,0,0,0,0,0
"Science, Technology and Society, Program in","University of Texas Health Science Center at Houston, The","Translational Molecular Pathology, Department of",1,2,0,0,0,0,0,0
"Science, Technology and Society, Program in","University of Texas Health Science Center at Houston, The","Quantitative Sciences, Department of",1,2,0,0,0,0,0,0
