Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Science, Technology and Society, Program in","BANERJEE, DWAIPAYAN",827649,,,,,,,,,
"Science, Technology and Society, Program in","BROWN, KATHRYN LAKE",353414,,,,,,,,,
"Science, Technology and Society, Program in","DERINGER, WILLIAM P",789763,,,,,,,,,
"Science, Technology and Society, Program in","FISCHER, MICHAEL M. J",53492,,,,,,,,,
"Science, Technology and Society, Program in","FITZGERALD, DEBORAH K",38446,,,,,,,,,
"Science, Technology and Society, Program in","GORMAN, MICHAEL JOHN",2157285,,,,,,,,,
"Science, Technology and Society, Program in","KAISER, DAVID I",149551,,,,,,,,,
"Science, Technology and Society, Program in","LIGHT, JENNIFER S",153197,,,,,,,,,
"Science, Technology and Society, Program in","MAVHUNGA, CLAPPERTON CHAKANETSA",175990,,,,,,,,,
"Science, Technology and Society, Program in","MEDINA, JESSICA EDEN",78011,,,,,,,,,
"Science, Technology and Society, Program in","MINDELL, DAVID A",69857,,,,,,,,,
"Science, Technology and Society, Program in","NELSON, ELIAS WILLIAM",1765820,,,,,,,,,
"Science, Technology and Society, Program in","ROLLINS, OLIVER",1954633,,,,,,,,,
"Science, Technology and Society, Program in","SARAF, ISHANI",2157284,,,,,,,,,
"Science, Technology and Society, Program in","SCHEFFLER, ROBIN W",789764,,,,,,,,,
"Science, Technology and Society, Program in","SMITH, MERRITT ROE",86011,,,,,,,,,
"Science, Technology and Society, Program in","TURKLE, SHERRY R",169642,,,,,,,,,
