Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,Boston University,"SHIBA, KOICHIRO",1814407,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,Drexel University,"SCHWARTZ, GABRIEL L",1855189,3,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,Harvard University,"BERKMAN, LISA FAYE",7697,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,Harvard University,"KAWACHI, ICHIRO",383304,5,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,Harvard University,"KOENEN, KARESTAN C",404121,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,Harvard University,"KRIEGER, NANCY",540439,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,Harvard University,"RICH-EDWARDS, JANET WILSON",383493,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,Harvard University,"SUBRAMANIAN, S.V VENKATA",393275,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,Harvard University,"VANDERWEELE, TYLER J",393591,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,Harvard University,"WATERS, MARY C",94367,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,Harvard University,"WILLIAMS, DAVID R",788492,5,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,Massachusetts Institute of Technology,"SEVTSUK, ANDRES",805474,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,Massachusetts Institute of Technology,"STEIL, JUSTIN P",789767,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,Massachusetts Institute of Technology,"THOMPSON, J PHILLIP",289529,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,Massachusetts Institute of Technology,"ZHENG, SIQI",827702,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,New York University,"ELLEN, INGRID GOULD",31320,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,Northeastern University,"WILLIAMS, PATRICE CECELIA",1977930,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,"University of California, Davis","JAMES, PETER",839043,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,University of Illinois at Urbana-Champaign,"GREENLEE, ANDREW JORDAN",517137,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,University of Massachusetts Boston,"RHODES, JEAN E",119675,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,University of Michigan,"MEHDIPANAH, ROSHANAK",773758,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,University of Pennsylvania,"VENKATARAMANI, ATHEENDAR S",842825,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,Yale University,"KEENE, DANYA ELIZABETH",541240,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,Yale University,"LOWE, SARAH",977235,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","BEN-JOSEPH, ERAN",8272,Purdue University,"DUNN, ERIN CATHLEEN",847357,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","BERGER, ALAN M",176629,Temple University,"FLEMING, BILLY",2050324,0,1,0,0,0,0,0
"Urban Studies and Planning, Department of","BUNTEN, DEVIN MICHELLE",825082,Massachusetts Institute of Technology,"D'IGNAZIO, CATHERINE S",1304710,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","BUNTEN, DEVIN MICHELLE",825082,Massachusetts Institute of Technology,"HARRIEL, HOLLY",1977481,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","BUNTEN, DEVIN MICHELLE",825082,Massachusetts Institute of Technology,"WENDEL, DELIA",856147,0,0,0,1,0,0,0
