Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Urban Studies and Planning, Department of","FRENCHMAN, DENNIS M",36532,"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","FRENCHMAN, DENNIS M",36532,"Urban Studies and Planning, Department of","ZEGRAS, PERICLES C",130791,0,1,0,0,0,0,0
"Urban Studies and Planning, Department of","FERREIRA, JOSEPH",56475,"Urban Studies and Planning, Department of","ZEGRAS, PERICLES C",130791,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","VALE, LAWRENCE",110700,"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","VALE, LAWRENCE",110700,"Urban Studies and Planning, Department of","RYAN, BRENT",412290,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","VALE, LAWRENCE",110700,"Urban Studies and Planning, Department of","STEIL, JUSTIN P",789767,0,1,1,0,0,0,0
"Urban Studies and Planning, Department of","ZEGRAS, PERICLES C",130791,"Civil and Environmental Engineering, Department of","BEN-AKIVA, MOSHE E",9049,2,0,0,0,0,1,0
"Urban Studies and Planning, Department of","ZEGRAS, PERICLES C",130791,"Urban Studies and Planning, Department of","FERREIRA, JOSEPH",56475,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ZEGRAS, PERICLES C",130791,"Urban Studies and Planning, Department of","FRENCHMAN, DENNIS M",36532,0,1,0,0,0,0,0
"Urban Studies and Planning, Department of","ZEGRAS, PERICLES C",130791,"Urban Studies and Planning, Department of","HSU, YUIN-JEN DAVID",534929,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ZEGRAS, PERICLES C",130791,"Urban Studies and Planning, Department of","ZHAO, JINHUA",627170,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","THOMPSON, J PHILLIP",289529,"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","RYAN, BRENT",412290,"Urban Studies and Planning, Department of","VALE, LAWRENCE",110700,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","HSU, YUIN-JEN DAVID",534929,"Urban Studies and Planning, Department of","ZEGRAS, PERICLES C",130791,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ZHAO, JINHUA",627170,"Urban Studies and Planning, Department of","JACKSON, JASON BERTROY",827703,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ZHAO, JINHUA",627170,"Urban Studies and Planning, Department of","SANTI, PAOLO",1108315,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ZHAO, JINHUA",627170,"Mechanical Engineering, Department of","SARMA, SANJAY E",121468,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ZHAO, JINHUA",627170,"Civil and Environmental Engineering, Department of","WU, CATHY",1108290,1,0,0,1,0,0,0
"Urban Studies and Planning, Department of","ZHAO, JINHUA",627170,"Urban Studies and Planning, Department of","ZEGRAS, PERICLES C",130791,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ZHAO, JINHUA",627170,"Urban Studies and Planning, Department of","ZHENG, SIQI",827702,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,"Urban Studies and Planning, Department of","SEVTSUK, ANDRES",805474,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,"Urban Studies and Planning, Department of","STEIL, JUSTIN P",789767,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,"Urban Studies and Planning, Department of","THOMPSON, J PHILLIP",289529,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,"Urban Studies and Planning, Department of","ZHENG, SIQI",827702,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","STEIL, JUSTIN P",789767,"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","STEIL, JUSTIN P",789767,"Management, Sloan School of","JONASSON, JONAS O",827654,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","STEIL, JUSTIN P",789767,"Architecture, Department of","MAZEREEUW, MIHO",627123,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","STEIL, JUSTIN P",789767,"Urban Studies and Planning, Department of","VALE, LAWRENCE",110700,0,1,1,0,0,0,0
"Urban Studies and Planning, Department of","SEVTSUK, ANDRES",805474,"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","SEVTSUK, ANDRES",805474,"Urban Studies and Planning, Department of","ZHENG, SIQI",827702,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","BUNTEN, DEVIN MICHELLE",825082,"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","BUNTEN, DEVIN MICHELLE",825082,"Urban Studies and Planning, Department of","HARRIEL, HOLLY",1977481,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","BUNTEN, DEVIN MICHELLE",825082,"Urban Studies and Planning, Department of","WENDEL, DELIA",856147,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","ZHENG, SIQI",827702,"Urban Studies and Planning, Department of","ARCAYA, MARIANA CLAIR",789765,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ZHENG, SIQI",827702,"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ZHENG, SIQI",827702,"Brain and Cognitive Sciences, Department of","RAND, DAVID GERTLER",540961,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ZHENG, SIQI",827702,"Urban Studies and Planning, Department of","SANTI, PAOLO",1108315,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ZHENG, SIQI",827702,"Urban Studies and Planning, Department of","SEVTSUK, ANDRES",805474,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ZHENG, SIQI",827702,"Urban Studies and Planning, Department of","ZHAO, JINHUA",627170,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","JACKSON, JASON BERTROY",827703,"Urban Studies and Planning, Department of","ZHAO, JINHUA",627170,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","WENDEL, DELIA",856147,"Urban Studies and Planning, Department of","BUNTEN, DEVIN MICHELLE",825082,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","WENDEL, DELIA",856147,"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","WENDEL, DELIA",856147,"Urban Studies and Planning, Department of","HARRIEL, HOLLY",1977481,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","WENDEL, DELIA",856147,"Architecture, Department of","MILJACKI, ANA",175841,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,"Biological Engineering, Department of","ALM, ERIC J",176231,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,"Urban Studies and Planning, Department of","FRENCHMAN, DENNIS M",36532,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,"Civil and Environmental Engineering, Department of","HEMOND, HAROLD F",146587,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,"Architecture, Department of","NORFORD, LESLIE KEITH",86061,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,"Electrical Engineering and Computer Sciences, Department of","RUS, DANIELA L",175959,1,0,0,2,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,"Urban Studies and Planning, Department of","SANTI, PAOLO",1108315,7,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,"Urban Studies and Planning, Department of","VALE, LAWRENCE",110700,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,"Civil and Environmental Engineering, Department of","WHITTLE, ANDREW",96890,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,"Urban Studies and Planning, Department of","ZHENG, SIQI",827702,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","SANTI, PAOLO",1108315,"Civil and Environmental Engineering, Department of","BUEHLER, MARKUS J",135309,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","SANTI, PAOLO",1108315,"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,7,0,0,0,0,0,0
"Urban Studies and Planning, Department of","SANTI, PAOLO",1108315,"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","SANTI, PAOLO",1108315,"Urban Studies and Planning, Department of","ZHAO, JINHUA",627170,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","SANTI, PAOLO",1108315,"Urban Studies and Planning, Department of","ZHENG, SIQI",827702,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,"Media Arts and Sciences, Program in","BREAZEAL, CYNTHIA LYNN",12743,2,0,0,3,0,0,0
"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,"Urban Studies and Planning, Department of","BUNTEN, DEVIN MICHELLE",825082,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,"Urban Studies and Planning, Department of","HARRIEL, HOLLY",1977481,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,"Institute for Data, Systems, and Society (IDSS)","HOSOI, ANETTE E",50247,0,0,0,2,0,0,0
"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,"Urban Studies and Planning, Department of","WENDEL, DELIA",856147,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,"Mechanical Engineering, Department of","YANG, MARIA",100078,1,0,0,2,0,0,0
"Urban Studies and Planning, Department of","HARRIEL, HOLLY",1977481,"Urban Studies and Planning, Department of","BUNTEN, DEVIN MICHELLE",825082,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","HARRIEL, HOLLY",1977481,"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","HARRIEL, HOLLY",1977481,"Urban Studies and Planning, Department of","WENDEL, DELIA",856147,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","GLASMEIER, AMY K",287825,"Aeronautics and Astronautics, Department of","MODIANO, EYTAN H",156907,0,0,0,0,1,0,0
"Urban Studies and Planning, Department of","REYNOLDS, ELISABETH BECK",919226,"Economics, Department of","AUTOR, DAVID H",131945,0,1,0,0,0,0,0
