Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Urban Studies and Planning, Department of",Massachusetts Institute of Technology,"Urban Studies and Planning, Department of",24,150,8,0,17,0,0,0
"Urban Studies and Planning, Department of",American University,"Film and Media Arts, Division of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Arizona State University,"Polytechnic School, The",1,1,0,0,1,0,0,0
"Urban Studies and Planning, Department of",Boston University,"Economics, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Boston University,"Environmental Health, Department of",1,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Boston University,"Epidemiology, Department of",1,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Boston University,"Social Work, School of",1,3,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Brown University,"Computer Science, Department of",1,1,0,0,2,0,0,0
"Urban Studies and Planning, Department of",Brown University,"Sociology, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Brown University,"History of Art and Architecture, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Brown University,"Epidemiology, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Carnegie Mellon University,Human-Computer Interaction Institute,1,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of",Colorado School of Mines,"Electrical Engineering, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Colorado School of Mines,"Engineering, Design, and Society Division",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Columbia University,"Civil Engineering and Engineering Mechanics, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Cornell University,"City and Regional Planning, Department of",2,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Drexel University,"Health Management and Policy, Department of",1,3,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Emory University,"English, Department of",1,1,1,1,1,0,0,0
