Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Urban Studies and Planning, Department of","Urban Studies and Planning, Department of",19,25,2,1,1,0,0,0
"Urban Studies and Planning, Department of","Aeronautics and Astronautics, Department of",3,0,1,0,0,2,0,0
"Urban Studies and Planning, Department of","Architecture, Department of",3,3,0,0,0,0,0,0
"Urban Studies and Planning, Department of","Biological Engineering, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","Brain and Cognitive Sciences, Department of",2,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","Civil and Environmental Engineering, Department of",6,6,0,0,1,0,1,0
"Urban Studies and Planning, Department of","Earth, Atmospheric and Planetary Sciences, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","Economics, Department of",1,0,1,0,0,0,0,0
"Urban Studies and Planning, Department of","Electrical Engineering and Computer Sciences, Department of",1,1,0,0,2,0,0,0
"Urban Studies and Planning, Department of","Institute for Data, Systems, and Society (IDSS)",7,4,1,0,3,1,0,0
"Urban Studies and Planning, Department of","Management, Sloan School of",4,3,0,0,0,1,0,0
"Urban Studies and Planning, Department of","Materials Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","Mathematics, Department of",1,0,0,0,2,0,0,0
"Urban Studies and Planning, Department of","Mechanical Engineering, Department of",6,4,0,1,4,0,0,0
"Urban Studies and Planning, Department of","Media Arts and Sciences, Program in",1,2,0,0,3,0,0,0
"Urban Studies and Planning, Department of","Nuclear Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","Political Science, Department of",2,1,1,0,0,0,0,0
"Urban Studies and Planning, Department of","Science, Technology and Society, Program in",1,0,1,0,0,0,0,0
