Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Urban Studies and Planning, Department of","FRENCHMAN, DENNIS M",36532,"DUARTE DE ARAUJO SILVA, FABIO",1108314,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","FRENCHMAN, DENNIS M",36532,"ZEGRAS, PERICLES C",130791,0,1,0,0,0,0,0
"Urban Studies and Planning, Department of","FERREIRA, JOSEPH",56475,"ZEGRAS, PERICLES C",130791,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","VALE, LAWRENCE",110700,"DUARTE DE ARAUJO SILVA, FABIO",1108314,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","VALE, LAWRENCE",110700,"RYAN, BRENT",412290,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","VALE, LAWRENCE",110700,"STEIL, JUSTIN P",789767,0,1,1,0,0,0,0
"Urban Studies and Planning, Department of","ZEGRAS, PERICLES C",130791,"FERREIRA, JOSEPH",56475,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ZEGRAS, PERICLES C",130791,"FRENCHMAN, DENNIS M",36532,0,1,0,0,0,0,0
"Urban Studies and Planning, Department of","ZEGRAS, PERICLES C",130791,"HSU, YUIN-JEN DAVID",534929,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ZEGRAS, PERICLES C",130791,"ZHAO, JINHUA",627170,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","THOMPSON, J PHILLIP",289529,"ARCAYA, MARIANA CLAIR",789765,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","RYAN, BRENT",412290,"VALE, LAWRENCE",110700,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","HSU, YUIN-JEN DAVID",534929,"ZEGRAS, PERICLES C",130791,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","ZHAO, JINHUA",627170,"JACKSON, JASON BERTROY",827703,1,0,0,0,0,0,0
