10.1016/J.PHYSLETB.2023.137703,120362,1925,30783,1925,Article
10.1016/J.PHYSLETB.2022.137566,827695,1925,627165,1925,Article
10.1093/MNRAS/STAD1319,1109714,1925,289272,8952,Article
10.1073/PNAS.2019740118,46757,1909,1351825,1904,Article
10.3847/2041-8213/AD5BEB,503306,1925,67570,1925,Article
10.1038/S41467-024-47221-8,175959,9852,1108294,43334,Article
10.1021/ACS.CHEMREV.2C00155,627128,1906,412297,1920,Article
10.1103/PHYSREVLETT.126.252003,120362,1925,15477,1925,Article
10.1088/1748-0221/19/11/P11021,627165,1925,116604,1925,Article
10.14778/3685800.3685916,558331,43334,72171,43334,Article
10.1140/EPJC/S10052-021-09014-X,15477,1925,116604,1925,Article
10.1261/RNA.078997.121,100462,1909,17819,1925,Article
10.1007/JHEP09(2023)057,827695,1925,120362,1925,Article
10.1039/D0AY02365E,64348,1921,250993,1921,Article
10.1038/S41586-022-04839-2,779118,1907,129009,1903,Article
10.1126/SCIADV.ADK2506,1304703,1914,488118,1914,Article
10.1103/PHYSREVD.109.112009,627165,1925,120362,1925,Article
10.1126/SCIENCE.ABO2856,1092833,1925,101953,1925,Article
10.1038/S41564-022-01192-Y,826660,1904,175862,1904,Article
10.1364/OL.424535,390730,1919,60448,1919,Article
10.1175/JCLI-D-21-0982.1,208562,1901,544627,8964,Article
10.1007/JHEP07(2023)073,627165,1925,30783,1925,Article
10.1021/JACS.4C02617,789755,1919,250993,1921,Article
10.1109/ICCV48922.2021.01176,789742,9852,4077,9852,Conference Proceeding
10.1088/2515-7647/AC9A91,390730,1919,789757,1919,Article
10.1007/JHEP12(2023)070,116604,1925,827695,1925,Article
10.1016/J.NANTOD.2022.101669,176238,1916,632090,8962,Article
10.1364/FIO.2021.FM3D.3,132426,41851,827631,1903,Conference Proceeding
10.1103/PHYSREVAPPLIED.18.064056,88335,1912,1108296,1912,Article
10.1103/PHYSREVD.110.012010,120362,1925,116604,1925,Article
10.1007/JHEP12(2021)083,120362,1925,627165,1925,Article
10.1785/0220230010,287223,11918,288497,11918,Article
10.1002/ADHM.202201822,412267,1906,83112,1906,Article
10.1016/J.PHYSLETB.2022.137531,116604,1925,30783,1925,Article
10.1029/2021JC017187,836179,8964,370199,8964,Article
10.1039/D1RE00315A,50192,43334,7865,1916,Article
10.1038/S41564-020-00859-8,289059,11918,289597,11918,Article
10.1038/S41563-021-00936-1,412297,1920,412328,41851,Article
10.1016/J.PHYSLETB.2020.136018,827695,1925,627165,1925,Article
10.1016/J.PHYSLETB.2024.138979,15477,1925,627165,1925,Article
10.1126/SCITRANSLMED.ADH9974,176373,8963,53694,1909,Article
10.1029/2021GH000401,129009,1903,141156,1903,Article
10.1016/J.IMMUNI.2022.04.004,779118,1909,856140,1903,Article
10.1029/2023JC020761,370199,8964,488108,8964,Article
10.1088/1748-0221/19/09/P09004,15477,1925,30783,1925,Article
10.1088/1748-0221/17/03/P03014,30783,1925,116604,1925,Article
10.1039/D4EE01219D,488102,1919,173103,1923,Article
10.1175/JPO-D-22-0219.1,488120,1901,488115,1901,Article
10.1128/AEM.03089-20,83316,1904,412244,8962,Article
10.3847/1538-4357/AC23DB,837222,1921,544569,1925,Article
10.58530/2023/0082,144262,43334,112328,43334,Conference Proceeding
10.1016/J.CELL.2023.08.039,53694,1909,176373,8963,Article
10.1140/EPJC/S10052-022-10127-0,627165,1925,120362,1925,Article
10.1038/S41597-022-01517-W,630714,1916,122541,1924,Article
10.1126/SCIADV.ADD9832,287645,8952,544629,11918,Article
10.1371/JOURNAL.PONE.0278412,12578,8963,176268,1916,Article
10.1016/J.NIMA.2022.167956,156681,1925,627165,1925,Article
10.1103/PHYSREVD.104.102001,827691,1925,67570,1925,Article
10.1287/MNSC.2022.03683,1412506,9852,109514,43334,Article
10.1002/LNO.12678,1332662,11918,288637,11918,Article
10.1038/S41597-022-01517-W,67313,1924,91824,1924,Article
10.1029/2023JE007740,287800,1914,176483,41851,Article
10.1038/S41522-024-00501-Z,144921,1921,176231,8962,Article
10.1007/JHEP06(2023)130,116604,1925,30783,1925,Article
10.1149/1945-7111/ABF77C,544458,1906,412328,41851,Article
10.15252/MSB.20209933,632090,1903,412284,1925,Article
10.1111/MAPS.13887,1584403,11918,1108302,11918,Article
10.1021/JACS.3C05374,412252,1907,627128,1907,Article
10.1371/JOURNAL.PCBI.1010776,166205,8963,176365,8963,Article
10.1080/02699931.2022.2090318,540961,41570,8842,1926,Article
10.1126/SCIADV.ADH7746,288380,8964,919229,11918,Article
10.1287/MNSC.2020.3602,91824,1918,76838,1918,Article
10.1126/SCIADV.ADG8495,632090,1903,412280,1921,Article
10.1038/S41587-023-01833-5,37997,1919,19111,9852,Article
10.1038/S41560-021-00792-Y,488102,1923,488073,1907,Article
10.1007/JHEP08(2024)215,30783,1925,116604,1925,Article
10.1109/MM.2022.3219803,544435,41570,627139,9852,Article
10.1063/5.0076635,370154,8962,176486,1903,Article
10.1039/D1RE00315A,50192,43334,54951,1906,Article
10.1038/S41587-023-01679-X,412267,1916,83112,1906,Article
10.18653/V1/2024.ACL-LONG.851,169255,43334,108215,1905,Conference Proceeding
10.1093/PNASNEXUS/PGAE191,62732,1918,286887,41570,Article
10.1103/PHYSREVLETT.128.032001,30783,1925,827695,1925,Article
10.1029/2020JC017091,288982,8964,289391,8964,Article
10.1038/S41467-022-35752-X,488070,1909,53694,43334,Article
10.1038/S41598-020-79031-5,85646,8962,488068,8962,Article
10.1149/MA2024-02252051MTGABS,544458,1906,2157264,1906,Article
10.1021/ACS.JPCC.4C04668,165211,1907,412313,41851,Article
10.1007/JHEP11(2021)153,120362,1925,15477,1925,Article
10.1103/PHYSREVC.103.014902,836518,1925,15477,1925,Article
10.1038/S41598-023-39972-Z,544474,8952,289272,1900,Article
10.1007/JHEP03(2021)011,30783,1925,827695,1925,Article
10.1029/2020JC017091,289391,11918,288982,8964,Article
10.1109/JLT.2020.3041186,96690,1912,11597,43334,Article
10.1021/ACS.JCIM.3C00439,1092832,1909,7865,1909,Article
10.1109/OCEANS55160.2024.10754153,2157281,8964,287149,11918,Conference Proceeding
10.1016/J.CELREP.2023.113023,1850526,1904,94944,1904,Article
10.7554/ELIFE.78079,176367,8963,14958,1903,Article
10.1016/J.PHYSLETB.2023.137803,30783,1925,120362,1925,Article
10.1016/J.CELS.2022.11.005,632090,1903,370154,8962,Article
10.1016/J.PHYSLETB.2022.136888,827695,1925,30783,1925,Article
10.1103/PHYSREVLETT.131.061801,15477,1925,116604,1925,Article
10.1016/J.BIOMATERIALS.2023.122317,837032,1921,129009,1909,Article
10.1016/J.CITIES.2021.103345,56475,1929,130791,1929,Article
10.1126/SCIENCE.ADI5199,176373,1909,53694,1909,Article
10.1121/10.0032407,488109,11918,171439,1915,Article
10.1038/S41551-023-01082-6,83112,1921,8219,43334,Article
10.7185/GOLD2023.18511,488113,8964,289279,8964,Conference Proceeding
10.1016/J.CELREP.2023.113629,1275077,1904,1351825,1904,Article
10.1021/ACSNANO.4C07360,60109,1909,779118,1916,Article
10.1115/DETC2023-115270,12743,1922,1304710,1929,Conference Proceeding
10.1029/2020GB006706,544620,11918,289220,8964,Article
10.1007/JHEP10(2021)045,116604,1925,15477,1925,Article
10.1002/AELM.202400141,173103,1923,488102,1923,Article
10.1038/S41598-023-30900-9,289449,1916,43476,9852,Article
10.1103/PHYSREVX.13.041039,503306,1925,837222,1921,Article
10.15607/RSS.2024.XX.040,149514,43334,95122,43334,Conference Proceeding
10.1145/3448016.3457568,789742,43334,558331,43334,Conference Proceeding
10.1007/JHEP07(2021)208,827695,1925,15477,1925,Article
10.3847/1538-4357/AD3E83,503306,1925,67570,1925,Article
10.1007/JHEP11(2021)111,15477,1925,116604,1925,Article
10.1287/OPRE.2022.0291,1351842,1924,1084680,1924,Article
10.1007/JHEP07(2023)023,15477,1925,116604,1925,Article
10.1140/EPJC/S10052-020-08739-5,116604,1925,15477,1925,Article
10.1140/EPJC/S10052-021-09200-X,827695,1925,30783,1925,Article
10.1016/J.JCP.2021.110279,412328,1906,412297,1906,Article
10.1103/PHYSREVD.104.052004,15477,1925,827695,1925,Article
10.1109/JSSC.2022.3141366,19111,1912,779077,1912,Article
10.1126/SCIENCE.ADF1646,288857,11918,544619,8964,Article
10.1038/S41565-022-01243-9,158105,1907,1769725,1900,Article
10.1002/ADTP.202100235,115935,1903,60069,1903,Article
10.1088/1748-0221/17/03/P03014,15477,1925,627165,1925,Article
10.1093/RESTUD/RDAD111,286887,1911,159339,41570,Article
10.1073/PNAS.2121720119,779118,1909,287114,1909,Article
10.21428/E4BAEDD9.92E511E3,488102,1923,827387,1919,Article
