diff_type,doi,focal_personid,focal_unitid,collab_personid,collab_unitid,collab_type
missing_from_ours,10.1002/LNO.12363,1092447,33841,175847,8933,Article
missing_from_ours,10.1002/LNO.12363,1092447,33841,175847,8935,Article
missing_from_ours,10.1002/LNO.12363,175847,8933,1092447,33841,Article
missing_from_ours,10.1002/LNO.12363,175847,8935,1092447,33841,Article
missing_from_ours,10.1007/JHEP03(2022)187,116604,8950,120362,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,116604,8950,15477,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,116604,8950,30783,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,116604,8950,627165,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,116604,8950,827695,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,120362,8950,116604,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,120362,8950,15477,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,120362,8950,30783,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,120362,8950,627165,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,120362,8950,827695,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,15477,8950,116604,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,15477,8950,120362,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,15477,8950,30783,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,15477,8950,627165,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,15477,8950,827695,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,30783,8950,116604,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,30783,8950,120362,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,30783,8950,15477,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,30783,8950,627165,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,30783,8950,827695,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,627165,8950,116604,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,627165,8950,120362,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,627165,8950,15477,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,627165,8950,30783,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,627165,8950,827695,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,827695,8950,116604,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,827695,8950,120362,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,827695,8950,15477,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,827695,8950,30783,8950,Article
missing_from_ours,10.1007/JHEP03(2022)187,827695,8950,627165,8950,Article
missing_from_ours,10.1007/JHEP04(2021)170,1977480,8950,544556,8938,Article
missing_from_ours,10.1007/JHEP04(2021)170,1977480,8950,544556,8950,Article
missing_from_ours,10.1007/JHEP04(2021)170,544556,8938,1977480,8950,Article
missing_from_ours,10.1007/JHEP04(2021)170,544556,8950,1977480,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,116604,8950,120362,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,116604,8950,15477,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,116604,8950,30783,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,116604,8950,627165,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,116604,8950,827695,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,120362,8950,116604,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,120362,8950,15477,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,120362,8950,30783,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,120362,8950,627165,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,120362,8950,827695,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,15477,8950,116604,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,15477,8950,120362,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,15477,8950,30783,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,15477,8950,627165,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,15477,8950,827695,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,30783,8950,116604,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,30783,8950,120362,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,30783,8950,15477,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,30783,8950,627165,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,30783,8950,827695,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,627165,8950,116604,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,627165,8950,120362,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,627165,8950,15477,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,627165,8950,30783,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,627165,8950,827695,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,827695,8950,116604,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,827695,8950,120362,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,827695,8950,15477,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,827695,8950,30783,8950,Article
missing_from_ours,10.1007/JHEP11(2022)149,827695,8950,627165,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,116604,8950,120362,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,116604,8950,15477,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,116604,8950,30783,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,116604,8950,627165,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,116604,8950,827695,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,120362,8950,116604,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,120362,8950,15477,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,120362,8950,30783,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,120362,8950,627165,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,120362,8950,827695,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,15477,8950,116604,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,15477,8950,120362,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,15477,8950,30783,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,15477,8950,627165,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,15477,8950,827695,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,30783,8950,116604,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,30783,8950,120362,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,30783,8950,15477,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,30783,8950,627165,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,30783,8950,827695,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,627165,8950,116604,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,627165,8950,120362,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,627165,8950,15477,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,627165,8950,30783,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,627165,8950,827695,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,827695,8950,116604,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,827695,8950,120362,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,827695,8950,15477,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,827695,8950,30783,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,827695,8950,627165,8950,Article
missing_from_ours,10.1007/S11002-022-09617-8,627170,8933,9049,8933,Article
missing_from_ours,10.1007/S11002-022-09617-8,627170,8938,9049,8933,Article
missing_from_ours,10.1007/S11002-022-09617-8,627170,8954,9049,8933,Article
missing_from_ours,10.1007/S11002-022-09617-8,9049,8933,627170,8933,Article
missing_from_ours,10.1007/S11002-022-09617-8,9049,8933,627170,8938,Article
missing_from_ours,10.1007/S11002-022-09617-8,9049,8933,627170,8954,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092309,8932,1092832,8931,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092309,8932,1092832,8937,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092832,8931,1092309,8932,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092832,8937,1092309,8932,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120355,1108302,33836,1584403,33836,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120355,1584403,33836,1108302,33836,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120652,1108302,33836,1584403,33836,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120652,1584403,33836,1108302,33836,Article
missing_from_ours,10.1016/J.JBC.2024.107240,789733,8932,85646,8929,Article
missing_from_ours,10.1016/J.JBC.2024.107240,85646,8929,789733,8932,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,175857,8928,50517,8928,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,175857,8928,50517,8937,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,175857,8929,50517,8928,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,175857,8929,50517,8937,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,50517,8928,175857,8928,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,50517,8928,175857,8929,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,50517,8937,175857,8928,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,50517,8937,175857,8929,Article
missing_from_ours,10.1016/J.JCYT.2024.03.443,412328,8931,85646,8929,Article
missing_from_ours,10.1016/J.JCYT.2024.03.443,85646,8929,412328,8931,Article
missing_from_ours,10.1016/J.MEMSCI.2021.119961,435117,8933,92170,8944,Article
missing_from_ours,10.1016/J.MEMSCI.2021.119961,435117,8944,92170,8944,Article
missing_from_ours,10.1016/J.MEMSCI.2021.119961,92170,8944,435117,8933,Article
missing_from_ours,10.1016/J.MEMSCI.2021.119961,92170,8944,435117,8944,Article
missing_from_ours,10.1016/J.PSS.2020.105151,287800,33842,645272,33836,Article
missing_from_ours,10.1016/J.PSS.2020.105151,645272,33836,287800,33842,Article
