diff_type,doi,focal_personid,focal_unitid,collab_personid,collab_unitid,collab_type
missing_from_ours,10.1002/LNO.12363,1092447,11918,175847,1908,Article
missing_from_ours,10.1002/LNO.12363,1092447,11918,175847,8952,Article
missing_from_ours,10.1002/LNO.12363,175847,1908,1092447,11918,Article
missing_from_ours,10.1002/LNO.12363,175847,8952,1092447,11918,Article
missing_from_ours,10.1007/JHEP03(2022)187,116604,1925,120362,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,116604,1925,15477,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,116604,1925,30783,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,116604,1925,627165,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,116604,1925,827695,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,120362,1925,116604,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,120362,1925,15477,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,120362,1925,30783,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,120362,1925,627165,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,120362,1925,827695,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,15477,1925,116604,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,15477,1925,120362,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,15477,1925,30783,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,15477,1925,627165,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,15477,1925,827695,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,30783,1925,116604,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,30783,1925,120362,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,30783,1925,15477,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,30783,1925,627165,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,30783,1925,827695,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,627165,1925,116604,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,627165,1925,120362,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,627165,1925,15477,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,627165,1925,30783,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,627165,1925,827695,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,827695,1925,116604,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,827695,1925,120362,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,827695,1925,15477,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,827695,1925,30783,1925,Article
missing_from_ours,10.1007/JHEP03(2022)187,827695,1925,627165,1925,Article
missing_from_ours,10.1007/JHEP04(2021)170,1977480,1925,544556,1925,Article
missing_from_ours,10.1007/JHEP04(2021)170,1977480,1925,544556,41570,Article
missing_from_ours,10.1007/JHEP04(2021)170,544556,1925,1977480,1925,Article
missing_from_ours,10.1007/JHEP04(2021)170,544556,41570,1977480,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,116604,1925,120362,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,116604,1925,15477,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,116604,1925,30783,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,116604,1925,627165,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,116604,1925,827695,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,120362,1925,116604,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,120362,1925,15477,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,120362,1925,30783,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,120362,1925,627165,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,120362,1925,827695,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,15477,1925,116604,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,15477,1925,120362,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,15477,1925,30783,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,15477,1925,627165,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,15477,1925,827695,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,30783,1925,116604,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,30783,1925,120362,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,30783,1925,15477,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,30783,1925,627165,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,30783,1925,827695,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,627165,1925,116604,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,627165,1925,120362,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,627165,1925,15477,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,627165,1925,30783,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,627165,1925,827695,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,827695,1925,116604,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,827695,1925,120362,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,827695,1925,15477,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,827695,1925,30783,1925,Article
missing_from_ours,10.1007/JHEP11(2022)149,827695,1925,627165,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,116604,1925,120362,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,116604,1925,15477,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,116604,1925,30783,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,116604,1925,627165,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,116604,1925,827695,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,120362,1925,116604,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,120362,1925,15477,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,120362,1925,30783,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,120362,1925,627165,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,120362,1925,827695,1925,Article
